,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime_sec,playtime_min,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate
7460,Arctic,Bette_Davis,False,4,3,1,209,3.4833333333333334,restart,<,,1,56e8314208cb832d,1345231860,Actors_models_and_celebrities,female,7,1,0.0
7461,Edmund_Hillary,Bette_Davis,False,3,3,0,1846,30.766666666666666,timeout,San_Francisco%2C_California,,0,56e8314208cb832d,1345504499,Actors_models_and_celebrities,female,7,1,0.0
7197,Economy_of_the_Republic_of_Ireland,Britney_Spears,False,7,4,3,197,3.283333333333333,restart,Music,,0,798557a679bcb04a,1298831006,Actors_models_and_celebrities,female,8,1,0.0
2447,Chemistry,Fidel_Castro,False,4,3,1,113,1.8833333333333333,restart,Nationalism,,0,57b097a273451124,1352167546,Political_People,male,23,2,
7606,Canada,Khan_Wali_Khan,False,5,3,2,2103,35.05,timeout,Indian_independence_movement,,0,2077bb27068c113e,1298832396,Writers_and_critics,male,1,1,
6593,North_Africa,Agamemnon,False,4,3,1,2816,46.93333333333333,timeout,Athens,,0,6977da6a0f35ca0c,1324078768,Historical_figures,male,9,1,
6103,Mass_Rapid_Transit_%28Singapore%29,William_and_Mary,False,5,3,2,544,9.066666666666666,restart,American_Revolutionary_War,,0,3f6320902431209d,1382453606,Monarchs_of_Great_Britain,female,8,1,0.0
1116,Hydrogen,Adolf_Hitler,False,4,2,2,53,0.8833333333333333,restart,Nuclear_weapon,,0,6d3a885a4dd06d26,1350924875,Political_People,male,109,5,
3185,Buddhism,Florence_Nightingale,False,8,3,5,1959,32.65,timeout,<,,2,465c27152a2c8ede,1311977952,Human_Scientists,female,7,1,0.0
7198,Cambodia,Britney_Spears,False,7,3,4,254,4.233333333333333,restart,Bruce_Springsteen,,0,506b9ce604f60e76,1298872134,Actors_models_and_celebrities,female,8,1,0.0
6356,Data_Encryption_Standard,Marie_Curie,False,8,3,5,132,2.2,restart,Uranium,,0,5ff00fef3ee1a186,1298672307,Chemists,female,10,1,0.0
5636,Long_pepper,Tiger_Woods,False,6,4,2,151,2.5166666666666666,restart,Sport,,0,576357c67f621837,1344899381,Sports_and_games_people,male,3,1,0.0
7194,Flemish_people,Britney_Spears,False,5,3,2,1895,31.583333333333332,timeout,American_popular_music,,0,4a261ea23756d5c2,1298742739,Actors_models_and_celebrities,female,8,1,0.0
5424,Soils_retrogression_and_degradation,Barbara_McClintock,False,6,3,3,52,0.8666666666666667,restart,<,,2,0468afaf7298ba1a,1306419099,Human_Scientists,female,6,1,
7096,Badminton,J._K._Rowling,False,5,3,2,102,1.7,restart,<,,1,372bf51e197303b6,1366389652,Writers_and_critics,female,5,1,0.0
7051,Libertarianism,Arthur_Wellesley%2C_1st_Duke_of_Wellington,False,3,3,0,355,5.916666666666667,restart,England,,0,26f76e394525328e,1359592753,Military_People,male,24,2,
7346,Tribe,Joan_of_Arc,False,4,4,0,143,2.3833333333333333,restart,France,,0,65b015b2089fb978,1322826878,Military_People,female,7,1,0.0
7651,Sistine_Chapel_ceiling,Paul_Kane,False,7,4,3,1907,31.783333333333335,timeout,Roman_Catholic_Church,,2,35992e7901bc07ce,1311886388,Artists,male,2,1,
4957,Shroud_of_Turin,Rosa_Parks,False,19,3,16,2797,46.61666666666667,timeout,Citizenship,,5,2914f7a114b3b94d,1341966668,Historical_figures,female,3,1,0.0
7211,Basil,Britney_Spears,False,22,4,18,484,8.066666666666666,restart,<,,5,465c27152a2c8ede,1311975624,Actors_models_and_celebrities,female,8,1,0.0
7191,Transit_of_Venus,Britney_Spears,False,24,4,20,2519,41.983333333333334,timeout,Mississippi_River,,2,769211682dc13566,1298694418,Actors_models_and_celebrities,female,8,1,0.0
2256,Nintendo_Entertainment_System,Joseph_Haydn,False,3,3,0,1916,31.933333333333334,timeout,Finland,,0,2c964c92112ea36b,1304512248,Performers_and_composers,male,14,1,
3377,Scotland,John_Cabot,False,10,2,8,313,5.216666666666667,restart,Benito_Mussolini,,0,6b899b1d177b260d,1347678611,Geographers_and_explorers,male,8,1,
7094,Lima,J._K._Rowling,False,3,3,0,114,1.9,restart,London,,0,77c7dba82bdc0ee4,1323409152,Writers_and_critics,female,5,1,0.0
45,14th_century,Elizabeth_I_of_England,False,2,2,0,1809,30.15,timeout,England,,0,1722399d7dc72e83,1349744196,Monarchs_of_Great_Britain,female,63,3,
7008,Bottlenose_Dolphin,Boudica,False,15,3,12,234,3.9,restart,Roman_Empire,,0,401ac01026554e0c,1298657413,Historical_figures,female,5,1,0.0
3935,Super_Mario_Bros.,Hatshepsut,False,4,4,0,96,1.6,restart,South_Africa,,0,5f22535607b1d77d,1367434319,Historical_figures,female,4,1,
4959,Human_dignity,Rosa_Parks,False,5,5,0,124,2.066666666666667,restart,Human,,1,3df11b7b22d9f17d,1383155461,Historical_figures,female,3,1,0.0
5944,Dominican_Republic,Isaac_Brock,False,4,3,1,148,2.466666666666667,restart,<,,1,77bba5811c8d9e81,1348773487,Military_People,male,3,1,0.0
7201,Jamaica,Britney_Spears,False,10,4,6,390,6.5,restart,Culture,,1,4c6c64387e39f302,1299884696,Actors_models_and_celebrities,female,8,1,0.0
6716,Philippines,Margaret_Thatcher,False,14,3,11,486,8.1,restart,Robinson_Crusoe,,3,7afdcb954e322b10,1366062885,Political_People,female,38,2,
6355,Silicon,Marie_Curie,False,11,3,8,247,4.116666666666666,restart,Electron,,1,3b189bda54563bd2,1297712209,Chemists,female,10,1,0.0
5364,Malaria,Louis_Pasteur,False,7,3,4,2002,33.36666666666667,timeout,Milk,,0,31b65a916609a1e6,1297298793,Human_Scientists,male,10,1,
2174,Krypton,Ulysses_S._Grant,False,3,3,0,1816,30.266666666666666,timeout,New_York_City,,0,078ecec137f77ebe,1310763475,USA_Presidents,male,26,2,
7724,Taipei,Eva_Per%C3%B3n,False,4,3,1,322,5.366666666666666,restart,Argentina,,0,28d2148632bf4519,1352882875,Political_People,female,3,1,
7686,Pope_Pius_XII,Hilda_of_Whitby,False,9,4,5,946,15.766666666666667,restart,Henry_VIII_of_England,,0,55de59f437fdf78c,1353774269,Religious_figures_and_leaders,female,2,1,0.0
7638,Alice%27s_Adventures_in_Wonderland,Attalus_I,False,6,4,2,2061,34.35,timeout,Sudan,,0,43b188eb40e507c0,1310506250,Historical_figures,male,2,1,
5224,Vasco_da_Gama,Vivien_Leigh,False,12,4,8,164,2.7333333333333334,restart,<,,2,447554f33458d130,1298785915,Actors_models_and_celebrities,female,8,1,
