,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime_sec,playtime_min,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate
4696,Battle_of_Gettysburg,Helen,True,18,3,15,491,8.183333333333334,,,,3,0dcf273f5680894f,1384881573,Historical_figures,female,7,1,1.0
7096,Badminton,J._K._Rowling,False,5,3,2,102,1.7,restart,<,,1,372bf51e197303b6,1366389652,Writers_and_critics,female,5,1,0.6
5741,History_of_slavery,Tiger_Woods,False,7,3,4,2080,34.666666666666664,timeout,Football,,0,61efce1931622a56,1388126689,Sports_and_games_people,male,3,1,0.0
1547,Cancer,J._M._W._Turner,False,6,3,3,1871,31.183333333333334,timeout,House_of_Lords,,1,187882e45668a3f0,1379293628,Artists,male,12,1,0.5
6093,Margaret_Sanger,William_and_Mary,True,9,3,6,1474,24.566666666666666,,,,0,40e3f8e21c560cbc,1370740444,Monarchs_of_Great_Britain,female,8,1,0.6666666666666666
2190,Coconut_crab,David_Beckham,True,5,4,1,174,2.9,,,,0,0662ecc3019d336f,1355149526,Sports_and_games_people,male,6,1,0.5
5761,Dunnock,Mary_I_of_Scotland,True,10,4,6,56,0.9333333333333333,,,,1,2203eb5c1afbb3a1,1327266709,Monarchs_of_Great_Britain,female,16,1,0.75
5912,Human_rights,Leon_Trotsky,True,3,2,1,30,0.5,,,,0,4c953195537599c4,1248842615,Political_People,male,17,1,1.0
6755,Gas_metal_arc_welding,Henry_VI_of_England,True,24,4,20,554,9.233333333333333,,,,3,64f8e7993e155012,1310282716,Monarchs_of_Great_Britain,male,13,1,
6711,Henry_Morrison_Flagler,Margaret_Thatcher,True,5,3,2,119,1.9833333333333334,,,1.0,0,0d57c8c57d75e2f5,1284750812,Political_People,female,38,2,0.8
4983,Nitrification,Ariel_Sharon,True,5,3,2,107,1.7833333333333334,,,,0,483f22e936ed4ce0,1332716712,Political_People,male,8,1,
7229,Equatorial_Guinea,Britney_Spears,False,4,3,1,316,5.266666666666667,restart,Rhythm_and_blues,,0,2f37778730668d11,1364488193,Actors_models_and_celebrities,female,8,1,0.0
7421,Music_of_Ireland,Anne_of_Great_Britain,True,4,3,1,70,1.1666666666666667,,,,0,74e1ade83225459d,1248813805,Monarchs_of_Great_Britain,female,29,2,
6786,Currency,Charles_Babbage,True,17,3,14,357,5.95,,,5.0,1,4b43836160785bfb,1249765252,Computing_People,male,10,1,1.0
7724,Taipei,Eva_Per%C3%B3n,False,4,3,1,322,5.366666666666666,restart,Argentina,,0,28d2148632bf4519,1352882875,Political_People,female,3,1,
6476,Poetry_of_the_United_States,Mary_II_of_England,True,6,3,3,145,2.4166666666666665,,,3.0,0,284ce9986e3258cc,1234040303,Monarchs_of_Great_Britain,female,22,1,1.0
2955,Human_rights,Anne_Frank,True,4,2,2,96,1.6,,,,0,052694457be4765c,1266375362,Writers_and_critics,female,6,1,1.0
6788,Kolkata,Charles_Babbage,True,4,3,1,55,0.9166666666666666,,,,0,24e9fc2e2d40b81a,1273874622,Computing_People,male,10,1,1.0
6607,Darfur_conflict,Johann_Sebastian_Bach,True,7,2,5,130,2.1666666666666665,,,3.0,0,26f5ea3e58e01350,1260525084,Performers_and_composers,male,30,2,1.0
119,South_Africa,Martina_Navratilova,True,4,3,1,86,1.4333333333333333,,,2.0,0,26f5ea3e58e01350,1261407117,Sports_and_games_people,female,4,1,1.0
5110,Cotopaxi,Victoria_of_the_United_Kingdom,True,6,3,3,159,2.65,,,1.0,0,71688d094165ef47,1381102263,Historical_figures,female,77,4,1.0
4187,Ramesses_II,William_Thomson%2C_1st_Baron_Kelvin,True,11,3,8,215,3.5833333333333335,,,,1,13d51d2f268f80e0,1368707558,Mathematicians,male,7,1,1.0
5421,Manchester,Barbara_McClintock,False,5,3,2,1841,30.683333333333334,timeout,World_Heritage_Site,,0,0c434a196bed807c,1299529401,Human_Scientists,female,6,1,0.6666666666666666
5409,Jesus,Robert_Boyle,True,6,3,3,72,1.2,,,5.0,0,700b22112ce03e73,1240246305,Chemists,male,19,1,1.0
7686,Pope_Pius_XII,Hilda_of_Whitby,False,9,4,5,946,15.766666666666667,restart,Henry_VIII_of_England,,0,55de59f437fdf78c,1353774269,Religious_figures_and_leaders,female,2,1,
3358,Vitamin_D,Cleopatra_VII,True,5,3,2,164,2.7333333333333334,,,,0,605fd5c81d6a1a17,1310498014,Historical_figures,female,17,1,1.0
6480,J%C3%B3zef_Pi%C5%82sudski,Mary_II_of_England,True,7,3,4,406,6.766666666666667,,,,0,493ee14c16f55ef9,1299115757,Monarchs_of_Great_Britain,female,22,1,1.0
6345,Mineral,John_Calvin,True,8,3,5,196,3.2666666666666666,,,3.0,1,6e7a907600ca5d3d,1266684056,Religious_figures_and_leaders,male,18,1,
7455,Windows_2000,Bette_Davis,True,5,4,1,126,2.1,,,,0,79a893b03dd4d771,1366290581,Actors_models_and_celebrities,female,7,1,0.5
2275,Nintendo,Kurt_Cobain,True,7,3,4,168,2.8,,,1.0,1,75e1906c76cbb2fd,1360632832,Performers_and_composers,male,7,1,
5762,Hadrian%27s_Wall,Mary_I_of_Scotland,False,5,3,2,1837,30.616666666666667,timeout,Mary_I_of_England,,0,2f7f5bc901f63206,1340910915,Monarchs_of_Great_Britain,female,16,1,0.75
4950,Buddhism,Rosa_Parks,True,10,4,6,208,3.466666666666667,,,3.0,1,649b437c2636c1ca,1351550193,Historical_figures,female,3,1,
5749,Cancer,Mary_I_of_Scotland,True,9,3,6,203,3.3833333333333333,,,,0,5c47b517641e8486,1259427057,Monarchs_of_Great_Britain,female,16,1,0.75
6665,Spacecraft_propulsion,Pel%C3%A9,True,6,4,2,168,2.8,,,,0,1b9973683b0a88f2,1327651932,Sports_and_games_people,male,10,1,1.0
7216,Ununoctium,Britney_Spears,False,6,4,2,1951,32.516666666666666,timeout,Neil_Young,,0,419186222306f380,1320787380,Actors_models_and_celebrities,female,8,1,0.0
6352,Borage,Marie_Curie,True,4,3,1,95,1.5833333333333333,,,,0,76baa89b5bf0f0df,1321295135,Chemists,female,10,1,0.4
5367,Tanzania,Bruce_Springsteen,True,5,3,2,140,2.3333333333333335,,,3.0,0,3c8ba56662c9e9c2,1266641809,Performers_and_composers,male,5,1,1.0
3720,Barbary_Lion,Keira_Knightley,True,5,4,1,35,0.5833333333333334,,,2.0,0,27bb85bf43c94394,1237445563,Actors_models_and_celebrities,female,3,1,0.5
7352,Mechanical_work,Joan_of_Arc,False,7,4,3,1877,31.283333333333335,timeout,Middle_Ages,,0,25abf3566714fd52,1337957251,Military_People,female,7,1,0.25
5224,Vasco_da_Gama,Vivien_Leigh,False,12,4,8,164,2.7333333333333334,restart,<,,2,447554f33458d130,1298785915,Actors_models_and_celebrities,female,8,1,
5378,ZX_Spectrum,Bruce_Springsteen,True,13,4,9,264,4.4,,,3.0,3,22561dac152b0b35,1389616827,Performers_and_composers,male,5,1,1.0
3627,Boundary_Waters_Canoe_Area_Wilderness,Malcolm_X,True,6,3,3,86,1.4333333333333333,,,5.0,1,3be1650444141c18,1257177892,Religious_figures_and_leaders,male,7,1,
2315,Vanilla,Michael_Jordan,True,5,3,2,106,1.7666666666666666,,,,0,368c9d7472aacdec,1386403350,Sports_and_games_people,male,6,1,1.0
6050,Mount_Everest,Demosthenes,True,24,4,20,570,9.5,,,2.0,9,20bf683c0101495a,1240116863,Historical_figures,male,7,1,
7224,Sheffield,Britney_Spears,False,3,3,0,1867,31.116666666666667,timeout,Popular_culture,,0,63322a01228519d5,1327349662,Actors_models_and_celebrities,female,8,1,0.0
6474,String_theory,Mary_II_of_England,True,26,3,23,503,8.383333333333333,,,,10,473d6ac602c2b198,1314904490,Monarchs_of_Great_Britain,female,22,1,1.0
6355,Silicon,Marie_Curie,False,11,3,8,247,4.116666666666666,restart,Electron,,1,3b189bda54563bd2,1297712209,Chemists,female,10,1,0.4
3782,Tooth_development,Nikola_Tesla,True,4,3,1,94,1.5666666666666667,,,,0,473d6ac602c2b198,1323369883,Engineers_and_inventors,male,15,1,
7004,Djibouti,Boudica,True,6,3,3,253,4.216666666666667,,,3.0,0,0d57c8c57d75e2f5,1283700884,Historical_figures,female,5,1,0.42857142857142855
7196,2nd_century,Britney_Spears,False,28,3,25,681,11.35,restart,Culture,,6,1b94cd1029c7078e,1298784684,Actors_models_and_celebrities,female,8,1,0.0
3952,San_Francisco%2C_California,Indira_Gandhi,True,9,3,6,107,1.7833333333333334,,,,2,5b9170fb32eae9b4,1355685338,Political_People,female,12,1,
2041,Love,Henry_IV_of_England,True,9,4,5,105,1.75,,,1.0,0,60aacdb56cc721c5,1345251442,Monarchs_of_Great_Britain,male,19,1,1.0
1979,Lettuce,Carl_Jung,True,6,3,3,77,1.2833333333333334,,,4.0,0,3fae946c6d9b3bd5,1225364150,Human_Scientists,male,14,1,1.0
3722,Love,Keira_Knightley,False,4,4,0,1849,30.816666666666666,timeout,<,,1,415a5a745c83af40,1333340087,Actors_models_and_celebrities,female,3,1,0.5
207,String_theory,Francis_Bacon,True,5,3,2,64,1.0666666666666667,,,1.0,0,76bd7be90fc34b26,1248673418,Philosophers,male,16,1,1.0
1539,Antelope,H.D.,False,9,3,6,216,3.6,restart,<,,1,6f764edf18c789b8,1384761357,Writers_and_critics,female,6,1,
6512,Apollo_11,Romulus_Augustus,True,5,3,2,128,2.1333333333333333,,,,0,3dc25e89579787e2,1248896848,Historical_figures,male,5,1,
3821,Cotopaxi,Alexander_the_Great,True,5,3,2,229,3.816666666666667,,,,0,0299542414c3f20a,1257975634,Military_People,male,78,4,1.0
7087,Black-winged_Stilt,J._K._Rowling,True,4,3,1,75,1.25,,,2.0,0,482256e90e245bc8,1264487105,Writers_and_critics,female,5,1,0.6
6361,Johannesburg,Marie_Curie,False,7,3,4,2095,34.916666666666664,timeout,Niels_Bohr,,1,4841999445d305cb,1374868385,Chemists,female,10,1,0.4
6920,Barn_Owl,Nicolaus_Copernicus,True,8,3,5,626,10.433333333333334,,,,0,3095594471f1cc65,1250701811,Astronomers_and_physicists,male,21,1,
4699,Saltasaurus,Helen,True,6,3,3,61,1.0166666666666666,,,1.0,0,769e03d45862b4b6,1260324133,Historical_figures,female,7,1,1.0
7349,Vanilla,Joan_of_Arc,False,9,3,6,2084,34.733333333333334,timeout,Napoleon_I_of_France,,1,4288c5d3017ad5ed,1329206734,Military_People,female,7,1,0.25
7604,Telescope,Francis_of_Assisi,False,7,3,4,150,2.5,restart,<,,3,1b94cd1029c7078e,1298783078,Religious_figures_and_leaders,male,9,1,
6284,Arctic,Bill_Gates,True,5,3,2,59,0.9833333333333333,,,,0,0d57c8c57d75e2f5,1290919557,Computing_People,male,15,1,1.0
3192,Stem_cell,Florence_Nightingale,False,4,3,1,108,1.8,restart,United_States,,0,076cb1c0731059f7,1371233489,Human_Scientists,female,7,1,0.375
7204,Great_Red_Spot,Britney_Spears,False,6,4,2,182,3.033333333333333,restart,American_popular_music,,0,4339fe343ac82d00,1301538440,Actors_models_and_celebrities,female,8,1,0.0
4466,Telescope,Jane_Austen,True,6,3,3,126,2.1,,,,0,0f85b23c7ac58dfe,1332006868,Writers_and_critics,female,17,1,1.0
6261,Ammosaurus,Kylie_Minogue,False,7,3,4,114,1.9,restart,Music,,1,264a3e3a30e274fe,1348783325,Performers_and_composers,female,6,1,0.16666666666666666
4847,Obi-Wan_Kenobi,Christina_Aguilera,True,4,3,1,103,1.7166666666666666,,,,0,54156ef968205c55,1267075951,Performers_and_composers,female,5,1,
7013,Tamarind,Boudica,False,4,4,0,144,2.4,restart,Holy_Roman_Empire,,0,61a48f1b655a3167,1305493403,Historical_figures,female,5,1,0.42857142857142855
6627,Roman_villa,Edmund_Burke,True,8,3,5,61,1.0166666666666666,,,3.0,1,70b2863b747128bc,1258338050,Political_People,male,15,1,
2950,Yellow_fever,Anne_Frank,True,6,3,3,150,2.5,,,,0,506a32ef329b4269,1382227940,Writers_and_critics,female,6,1,1.0
6347,Anglican_Communion,Marie_Curie,True,39,3,36,1035,17.25,,,5.0,14,0d57c8c57d75e2f5,1295004590,Chemists,female,10,1,0.4
4325,Nurse_sharks,Leif_Ericson,True,4,3,1,18,0.3,,,,0,0d57c8c57d75e2f5,1283939804,Geographers_and_explorers,male,3,1,0.5
121,Colley_Cibber,Martina_Navratilova,True,4,3,1,60,1.0,,,,0,1e70669a000e8122,1260413974,Sports_and_games_people,female,4,1,1.0
