,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime_sec,playtime_min,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate
4696,Battle_of_Gettysburg,Helen,True,18,3,15,491,8.183333333333334,,,,3,0dcf273f5680894f,1384881573,Historical_figures,female,7,1,1.0
5100,16th_century,Victoria_of_the_United_Kingdom,True,7,2,5,84,1.4,,,,0,585ef3723b310075,1231974920,Historical_figures,female,77,4,1.0
4896,Charles_Darwin,Ludwig_van_Beethoven,True,5,2,3,124,2.066666666666667,,,2.0,0,2f1f84682744fc7a,1259437310,Performers_and_composers,male,29,2,1.0
5416,Jesus,Barbara_McClintock,True,5,3,2,205,3.4166666666666665,,,,0,5694bcb53b92f5a9,1369541883,Human_Scientists,female,6,1,1.0
1022,Fusarium,Adolf_Hitler,True,5,4,1,132,2.2,,,,0,0c66165a2722b100,1368625845,Political_People,male,109,5,1.0
5761,Dunnock,Mary_I_of_Scotland,True,10,4,6,56,0.9333333333333333,,,,1,2203eb5c1afbb3a1,1327266709,Monarchs_of_Great_Britain,female,16,1,1.0
4467,Abraham_Lincoln,Jane_Austen,True,3,2,1,48,0.8,,,,0,38c0462304d4002b,1359389471,Writers_and_critics,female,17,1,1.0
5912,Human_rights,Leon_Trotsky,True,3,2,1,30,0.5,,,,0,4c953195537599c4,1248842615,Political_People,male,17,1,1.0
3928,Muhammad_Ali,Hatshepsut,True,11,3,8,236,3.933333333333333,,,3.0,1,6da262d547086a1c,1251101611,Historical_figures,female,4,1,
6711,Henry_Morrison_Flagler,Margaret_Thatcher,True,5,3,2,119,1.9833333333333334,,,1.0,0,0d57c8c57d75e2f5,1284750812,Political_People,female,38,2,1.0
6786,Currency,Charles_Babbage,True,17,3,14,357,5.95,,,5.0,1,4b43836160785bfb,1249765252,Computing_People,male,10,1,
4910,Indus_River,Ludwig_van_Beethoven,True,5,3,2,245,4.083333333333333,,,2.0,0,0d57c8c57d75e2f5,1282084894,Performers_and_composers,male,29,2,1.0
2955,Human_rights,Anne_Frank,True,4,2,2,96,1.6,,,,0,052694457be4765c,1266375362,Writers_and_critics,female,6,1,1.0
6607,Darfur_conflict,Johann_Sebastian_Bach,True,7,2,5,130,2.1666666666666665,,,3.0,0,26f5ea3e58e01350,1260525084,Performers_and_composers,male,30,2,1.0
5110,Cotopaxi,Victoria_of_the_United_Kingdom,True,6,3,3,159,2.65,,,1.0,0,71688d094165ef47,1381102263,Historical_figures,female,77,4,1.0
4187,Ramesses_II,William_Thomson%2C_1st_Baron_Kelvin,True,11,3,8,215,3.5833333333333335,,,,1,13d51d2f268f80e0,1368707558,Mathematicians,male,7,1,
6480,J%C3%B3zef_Pi%C5%82sudski,Mary_II_of_England,True,7,3,4,406,6.766666666666667,,,,0,493ee14c16f55ef9,1299115757,Monarchs_of_Great_Britain,female,22,1,1.0
2966,Ununoctium,Anne_Frank,True,5,3,2,77,1.2833333333333334,,,,0,473d6ac602c2b198,1319048754,Writers_and_critics,female,6,1,1.0
41,David_Cameron,Elizabeth_I_of_England,True,6,2,4,170,2.8333333333333335,,,,1,512965462d810c68,1371768096,Monarchs_of_Great_Britain,female,63,3,1.0
5042,Space_Race,Richard_III_of_England,True,9,3,6,392,6.533333333333333,,,4.0,0,41ccca6f742ffb73,1298822214,Monarchs_of_Great_Britain,male,15,1,
7044,Nitrification,Zionism,True,4,3,1,123,2.05,,,2.0,0,4d469f3946589df9,1251524234,Political_People,male,25,2,
4488,Dundee,Theodore_Roosevelt,True,6,3,3,157,2.6166666666666667,,,,0,0d57c8c57d75e2f5,1282316821,USA_Presidents,male,48,3,
7425,Zebra_shark,Henry_VII_of_England,True,5,3,2,44,0.7333333333333333,,,,0,473d6ac602c2b198,1329775885,Monarchs_of_Great_Britain,male,30,2,
5749,Cancer,Mary_I_of_Scotland,True,9,3,6,203,3.3833333333333333,,,,0,5c47b517641e8486,1259427057,Monarchs_of_Great_Britain,female,16,1,1.0
5418,Chicken,Barbara_McClintock,True,4,3,1,31,0.5166666666666667,,,1.0,0,0342670f49ede57b,1315515447,Human_Scientists,female,6,1,1.0
6665,Spacecraft_propulsion,Pel%C3%A9,True,6,4,2,168,2.8,,,,0,1b9973683b0a88f2,1327651932,Sports_and_games_people,male,10,1,
37,Kubla_Khan,Elizabeth_I_of_England,True,8,3,5,154,2.566666666666667,,,3.0,1,42d0c94b7c6e3fbe,1360853402,Monarchs_of_Great_Britain,female,63,3,1.0
6352,Borage,Marie_Curie,True,4,3,1,95,1.5833333333333333,,,,0,76baa89b5bf0f0df,1321295135,Chemists,female,10,1,1.0
3720,Barbary_Lion,Keira_Knightley,True,5,4,1,35,0.5833333333333334,,,2.0,0,27bb85bf43c94394,1237445563,Actors_models_and_celebrities,female,3,1,1.0
6348,Lerwick,Marie_Curie,True,4,3,1,99,1.65,,,1.0,0,0d57c8c57d75e2f5,1293508866,Chemists,female,10,1,1.0
3627,Boundary_Waters_Canoe_Area_Wilderness,Malcolm_X,True,6,3,3,86,1.4333333333333333,,,5.0,1,3be1650444141c18,1257177892,Religious_figures_and_leaders,male,7,1,
2315,Vanilla,Michael_Jordan,True,5,3,2,106,1.7666666666666666,,,,0,368c9d7472aacdec,1386403350,Sports_and_games_people,male,6,1,1.0
3719,Seawater,Keira_Knightley,True,6,3,3,233,3.8833333333333333,,,3.0,0,13f49b186a6662e3,1249738564,Actors_models_and_celebrities,female,3,1,1.0
3182,Apollo_11,Florence_Nightingale,True,6,3,3,152,2.533333333333333,,,2.0,0,424a65e078091c25,1378018105,Human_Scientists,female,7,1,1.0
35,Opera,Elizabeth_I_of_England,True,4,2,2,33,0.55,,,,0,08f04f8d02251a6b,1388858898,Monarchs_of_Great_Britain,female,63,3,1.0
2484,Christianity,Natalie_Portman,True,8,3,5,316,5.266666666666667,,,,0,7e5389e76e903791,1345350503,Actors_models_and_celebrities,female,5,1,1.0
5309,Philippines,Osama_bin_Laden,True,4,3,1,48,0.8,,,1.0,0,1fde1eee04c26e06,1317610201,Political_People,male,15,1,1.0
3362,Vanilla,Cleopatra_VII,True,4,3,1,55,0.9166666666666666,,,1.0,0,0ea740be190248d7,1383323093,Historical_figures,female,17,1,1.0
3782,Tooth_development,Nikola_Tesla,True,4,3,1,94,1.5666666666666667,,,,0,473d6ac602c2b198,1323369883,Engineers_and_inventors,male,15,1,
7004,Djibouti,Boudica,True,6,3,3,253,4.216666666666667,,,3.0,0,0d57c8c57d75e2f5,1283700884,Historical_figures,female,5,1,
2956,Applied_mathematics,Anne_Frank,True,6,3,3,95,1.5833333333333333,,,,0,3bf1fd1d1aea1a68,1304266699,Writers_and_critics,female,6,1,1.0
2041,Love,Henry_IV_of_England,True,9,4,5,105,1.75,,,1.0,0,60aacdb56cc721c5,1345251442,Monarchs_of_Great_Britain,male,19,1,
3183,Radio_telescope,Florence_Nightingale,True,6,3,3,142,2.3666666666666667,,,3.0,0,421a940b0205b86f,1368575904,Human_Scientists,female,7,1,1.0
