,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime_sec,playtime_min,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate
4735,Acid_rain,Abraham_Lincoln,True,11,2,9,121,2.0166666666666666,,,2.0,1,50f8cac41862173b,1304241246,USA_Presidents,male,62,3,1.0
6729,Indira_Gandhi,Pete_Sampras,True,5,3,2,64,1.0666666666666667,,,,0,473d6ac602c2b198,1316727999,Sports_and_games_people,male,13,1,
4736,Acid_rain,Abraham_Lincoln,True,4,2,2,60,1.0,,,2.0,0,77214b26091dfccb,1379610057,USA_Presidents,male,62,3,1.0
4896,Charles_Darwin,Ludwig_van_Beethoven,True,5,2,3,124,2.066666666666667,,,2.0,0,2f1f84682744fc7a,1259437310,Performers_and_composers,male,29,2,1.0
2053,Ununoctium,Henry_IV_of_England,True,5,4,1,110,1.8333333333333333,,,2.0,0,1c27cc364095a0eb,1270257196,Monarchs_of_Great_Britain,male,19,1,1.0
7417,Cactus,Anne_of_Great_Britain,True,5,3,2,57,0.95,,,,0,473d6ac602c2b198,1316467295,Monarchs_of_Great_Britain,female,29,2,1.0
1074,Super_Mario_Bros.,Adolf_Hitler,True,3,2,1,22,0.36666666666666664,,,1.0,0,385a8e23387f5f09,1367153053,Political_People,male,109,5,1.0
7110,Distilled_beverage,Henry_Purcell,True,6,3,3,276,4.6,,,,1,0d57c8c57d75e2f5,1278567112,Performers_and_composers,male,15,1,
2315,Vanilla,Michael_Jordan,True,5,3,2,106,1.7666666666666666,,,,0,368c9d7472aacdec,1386403350,Sports_and_games_people,male,6,1,1.0
1022,Fusarium,Adolf_Hitler,True,5,4,1,132,2.2,,,,0,0c66165a2722b100,1368625845,Political_People,male,109,5,1.0
3547,Roentgenium,Condoleezza_Rice,True,6,3,3,74,1.2333333333333334,,,,0,5fe10fc517e77e58,1354299373,Political_People,female,15,1,1.0
5761,Dunnock,Mary_I_of_Scotland,True,10,4,6,56,0.9333333333333333,,,,1,2203eb5c1afbb3a1,1327266709,Monarchs_of_Great_Britain,female,16,1,1.0
6625,Unix,Edmund_Burke,True,4,3,1,121,2.0166666666666666,,,2.0,0,631bc1682ffc69bb,1268549688,Political_People,male,15,1,1.0
4467,Abraham_Lincoln,Jane_Austen,True,3,2,1,48,0.8,,,,0,38c0462304d4002b,1359389471,Writers_and_critics,female,17,1,1.0
4949,Bacteria,Rosa_Parks,True,5,4,1,150,2.5,,,,0,6b1ad7d167aa3fb2,1335983916,Historical_figures,female,3,1,1.0
297,Christianity,Jesus,True,2,1,1,8,0.13333333333333333,,,,0,1d87486272a30f9a,1384112053,Religious_figures_and_leaders,male,116,6,1.0
1,14th_century,John_F._Kennedy,True,6,3,3,110,1.8333333333333333,,,,0,5295bca242be81fe,1372890414,USA_Presidents,male,60,3,1.0
5912,Human_rights,Leon_Trotsky,True,3,2,1,30,0.5,,,,0,4c953195537599c4,1248842615,Political_People,male,17,1,1.0
3928,Muhammad_Ali,Hatshepsut,True,11,3,8,236,3.933333333333333,,,3.0,1,6da262d547086a1c,1251101611,Historical_figures,female,4,1,1.0
6711,Henry_Morrison_Flagler,Margaret_Thatcher,True,5,3,2,119,1.9833333333333334,,,1.0,0,0d57c8c57d75e2f5,1284750812,Political_People,female,38,2,1.0
296,Christianity,Jesus,True,2,1,1,8,0.13333333333333333,,,,0,0b8b191723171597,1352326224,Religious_figures_and_leaders,male,116,6,1.0
6786,Currency,Charles_Babbage,True,17,3,14,357,5.95,,,5.0,1,4b43836160785bfb,1249765252,Computing_People,male,10,1,
6253,Nicaragua,Kylie_Minogue,True,6,2,4,169,2.816666666666667,,,,0,2094f0320f7b141e,1362257636,Performers_and_composers,female,6,1,1.0
4910,Indus_River,Ludwig_van_Beethoven,True,5,3,2,245,4.083333333333333,,,2.0,0,0d57c8c57d75e2f5,1282084894,Performers_and_composers,male,29,2,1.0
36,Netherlands,Elizabeth_I_of_England,True,6,2,4,86,1.4333333333333333,,,1.0,0,401e0e507140865e,1249233430,Monarchs_of_Great_Britain,female,63,3,1.0
5425,Jesus,Gottfried_Leibniz,True,3,2,1,52,0.8666666666666667,,,1.0,0,0726785e4bc93c78,1249760089,Mathematicians,male,35,2,
7239,Pythagorean_theorem,Miranda_Otto,True,7,5,2,337,5.616666666666666,,,,0,5873d2ca02bd19ff,1385145928,Actors_models_and_celebrities,female,1,1,1.0
2955,Human_rights,Anne_Frank,True,4,2,2,96,1.6,,,,0,052694457be4765c,1266375362,Writers_and_critics,female,6,1,1.0
6124,DNA_repair,Tupac_Shakur,True,5,4,1,99,1.65,,,,0,4c08f7220b5e8be4,1331785306,Performers_and_composers,male,4,1,1.0
6607,Darfur_conflict,Johann_Sebastian_Bach,True,7,2,5,130,2.1666666666666665,,,3.0,0,26f5ea3e58e01350,1260525084,Performers_and_composers,male,30,2,1.0
3340,Johnston_Atoll,Diane_Keaton,True,5,4,1,76,1.2666666666666666,,,,0,6df418be05c0e435,1366775458,Actors_models_and_celebrities,female,2,1,1.0
5110,Cotopaxi,Victoria_of_the_United_Kingdom,True,6,3,3,159,2.65,,,1.0,0,71688d094165ef47,1381102263,Historical_figures,female,77,4,1.0
4187,Ramesses_II,William_Thomson%2C_1st_Baron_Kelvin,True,11,3,8,215,3.5833333333333335,,,,1,13d51d2f268f80e0,1368707558,Mathematicians,male,7,1,
6480,J%C3%B3zef_Pi%C5%82sudski,Mary_II_of_England,True,7,3,4,406,6.766666666666667,,,,0,493ee14c16f55ef9,1299115757,Monarchs_of_Great_Britain,female,22,1,1.0
3180,Force,Florence_Nightingale,True,4,3,1,80,1.3333333333333333,,,2.0,0,116015794ba6623d,1368989596,Human_Scientists,female,7,1,1.0
2966,Ununoctium,Anne_Frank,True,5,3,2,77,1.2833333333333334,,,,0,473d6ac602c2b198,1319048754,Writers_and_critics,female,6,1,1.0
41,David_Cameron,Elizabeth_I_of_England,True,6,2,4,170,2.8333333333333335,,,,1,512965462d810c68,1371768096,Monarchs_of_Great_Britain,female,63,3,1.0
5042,Space_Race,Richard_III_of_England,True,9,3,6,392,6.533333333333333,,,4.0,0,41ccca6f742ffb73,1298822214,Monarchs_of_Great_Britain,male,15,1,
7044,Nitrification,Zionism,True,4,3,1,123,2.05,,,2.0,0,4d469f3946589df9,1251524234,Political_People,male,25,2,
4488,Dundee,Theodore_Roosevelt,True,6,3,3,157,2.6166666666666667,,,,0,0d57c8c57d75e2f5,1282316821,USA_Presidents,male,48,3,
3084,Radio_telescope,Charlemagne,True,4,2,2,64,1.0666666666666667,,,2.0,0,6b344a947c79cfa7,1381697798,Historical_figures,male,57,3,
7425,Zebra_shark,Henry_VII_of_England,True,5,3,2,44,0.7333333333333333,,,,0,473d6ac602c2b198,1329775885,Monarchs_of_Great_Britain,male,30,2,
5749,Cancer,Mary_I_of_Scotland,True,9,3,6,203,3.3833333333333333,,,,0,5c47b517641e8486,1259427057,Monarchs_of_Great_Britain,female,16,1,1.0
5107,Nobelium,Victoria_of_the_United_Kingdom,True,9,3,6,424,7.066666666666666,,,2.0,1,18c1ff0424760bd8,1312166642,Historical_figures,female,77,4,1.0
37,Kubla_Khan,Elizabeth_I_of_England,True,8,3,5,154,2.566666666666667,,,3.0,1,42d0c94b7c6e3fbe,1360853402,Monarchs_of_Great_Britain,female,63,3,1.0
6352,Borage,Marie_Curie,True,4,3,1,95,1.5833333333333333,,,,0,76baa89b5bf0f0df,1321295135,Chemists,female,10,1,1.0
6707,Palazzo_Pitti,Margaret_Thatcher,True,5,3,2,143,2.3833333333333333,,,3.0,0,41e0da754b94ac6a,1336271505,Political_People,female,38,2,1.0
3720,Barbary_Lion,Keira_Knightley,True,5,4,1,35,0.5833333333333334,,,2.0,0,27bb85bf43c94394,1237445563,Actors_models_and_celebrities,female,3,1,1.0
1073,Super_Mario_Bros.,Adolf_Hitler,True,5,2,3,62,1.0333333333333334,,,1.0,0,2378d4322bf1dfd8,1350340416,Political_People,male,109,5,1.0
6348,Lerwick,Marie_Curie,True,4,3,1,99,1.65,,,1.0,0,0d57c8c57d75e2f5,1293508866,Chemists,female,10,1,1.0
3627,Boundary_Waters_Canoe_Area_Wilderness,Malcolm_X,True,6,3,3,86,1.4333333333333333,,,5.0,1,3be1650444141c18,1257177892,Religious_figures_and_leaders,male,7,1,
3719,Seawater,Keira_Knightley,True,6,3,3,233,3.8833333333333333,,,3.0,0,13f49b186a6662e3,1249738564,Actors_models_and_celebrities,female,3,1,1.0
3357,Google,Cleopatra_VII,True,4,3,1,127,2.1166666666666667,,,2.0,0,7616b49a648c76ab,1249774276,Historical_figures,female,17,1,1.0
2244,Effect_of_Hurricane_Katrina_on_New_Orleans,Mary_I_of_England,True,5,4,1,98,1.6333333333333333,,,2.0,0,26519d935840492e,1249408317,Monarchs_of_Great_Britain,female,24,2,1.0
6715,South_Ossetia,Margaret_Thatcher,True,4,2,2,79,1.3166666666666667,,,3.0,0,745bf0b443bfab7c,1251297639,Political_People,female,38,2,1.0
2809,Chicken,William_Shakespeare,True,4,3,1,99,1.65,,,1.0,0,24f7236d372e341e,1305153752,Writers_and_critics,male,144,7,
2979,Johann_Sebastian_Bach,Martin_Luther,True,3,2,1,126,2.1,,,1.0,0,07ee7aad750ab6ad,1269453837,Religious_figures_and_leaders,male,38,2,1.0
3911,Jordan_River,Charlie_Chaplin,True,7,3,4,400,6.666666666666667,,,,0,3a283fc11b94c581,1306696408,Actors_models_and_celebrities,male,10,1,1.0
449,Super_Mario_Bros.,Jesus,True,4,3,1,113,1.8833333333333333,,,4.0,0,7adef3fc2f414c08,1384947365,Religious_figures_and_leaders,male,116,6,1.0
6034,Harry_Potter,Alexander_Graham_Bell,True,8,2,6,295,4.916666666666667,,,3.0,0,5f0c68242595b75b,1336448279,Engineers_and_inventors,male,8,1,
5309,Philippines,Osama_bin_Laden,True,4,3,1,48,0.8,,,1.0,0,1fde1eee04c26e06,1317610201,Political_People,male,15,1,1.0
3907,Applied_mathematics,Charlie_Chaplin,True,11,4,7,167,2.783333333333333,,,3.0,1,1d71c33d1c4a00cc,1259874667,Actors_models_and_celebrities,male,10,1,1.0
3362,Vanilla,Cleopatra_VII,True,4,3,1,55,0.9166666666666666,,,1.0,0,0ea740be190248d7,1383323093,Historical_figures,female,17,1,1.0
4950,Buddhism,Rosa_Parks,True,10,4,6,208,3.466666666666667,,,3.0,1,649b437c2636c1ca,1351550193,Historical_figures,female,3,1,1.0
3782,Tooth_development,Nikola_Tesla,True,4,3,1,94,1.5666666666666667,,,,0,473d6ac602c2b198,1323369883,Engineers_and_inventors,male,15,1,
7004,Djibouti,Boudica,True,6,3,3,253,4.216666666666667,,,3.0,0,0d57c8c57d75e2f5,1283700884,Historical_figures,female,5,1,
7084,American_Samoa,J._K._Rowling,True,4,3,1,219,3.65,,,,0,7e7d91592caee9c8,1249322308,Writers_and_critics,female,5,1,1.0
2041,Love,Henry_IV_of_England,True,9,4,5,105,1.75,,,1.0,0,60aacdb56cc721c5,1345251442,Monarchs_of_Great_Britain,male,19,1,1.0
6512,Apollo_11,Romulus_Augustus,True,5,3,2,128,2.1333333333333333,,,,0,3dc25e89579787e2,1248896848,Historical_figures,male,5,1,
3393,Philippines,Husein_Grada%C5%A1%C4%8Devi%C4%87,True,6,3,3,228,3.8,,,5.0,0,006f5e4771df374b,1322595358,Military_People,male,2,1,
5765,Stratford-upon-Avon,Tenzing_Norgay,True,6,4,2,98,1.6333333333333333,,,2.0,0,77214b26091dfccb,1378399765,Geographers_and_explorers,male,4,1,
5339,Nintendo,Osama_bin_Laden,True,4,3,1,116,1.9333333333333333,,,3.0,0,598e88d166ee9f90,1263147216,Political_People,male,15,1,1.0
4987,String_theory,Dwight_D._Eisenhower,True,5,3,2,63,1.05,,,,0,609da9454b410bac,1267671128,USA_Presidents,male,37,2,1.0
7242,Able_Archer_83,Miranda_Otto,True,7,4,3,161,2.683333333333333,,,,0,62236ba2782ae2d9,1313010409,Actors_models_and_celebrities,female,1,1,1.0
3821,Cotopaxi,Alexander_the_Great,True,5,3,2,229,3.816666666666667,,,,0,0299542414c3f20a,1257975634,Military_People,male,78,4,1.0
7087,Black-winged_Stilt,J._K._Rowling,True,4,3,1,75,1.25,,,2.0,0,482256e90e245bc8,1264487105,Writers_and_critics,female,5,1,1.0
4220,Roentgenium,Stanley_Baldwin,True,7,4,3,154,2.566666666666667,,,2.0,0,26519d935840492e,1249408156,Political_People,male,9,1,1.0
3551,Johann_Sebastian_Bach,Condoleezza_Rice,True,7,3,4,118,1.9666666666666666,,,3.0,1,05cc7d6446e70b1f,1271626665,Political_People,female,15,1,1.0
6189,Cape_Town,Ernest_Rutherford,True,12,3,9,96,1.6,,,,1,12fda3ee4070ed17,1385940328,Engineers_and_inventors,male,14,1,
4647,Western_Sahara,Leonardo_da_Vinci,True,7,3,4,56,0.9333333333333333,,,,0,5bb5836b425e6bfe,1325175337,Engineers_and_inventors,male,34,2,1.0
7357,Libertarianism,Edward_the_Confessor,True,5,3,2,99,1.65,,,2.0,0,1f4616b9164483c7,1248698861,Religious_figures_and_leaders,male,25,2,
7186,Arsenic,Britney_Spears,True,13,4,9,297,4.95,,,,0,5e0825de5f772bb0,1328917648,Actors_models_and_celebrities,female,8,1,1.0
1589,Haiti,Che_Guevara,True,4,2,2,29,0.48333333333333334,,,2.0,0,4eeaf9cf00a6fad1,1336646113,Historical_figures,male,10,1,1.0
6920,Barn_Owl,Nicolaus_Copernicus,True,8,3,5,626,10.433333333333334,,,,0,3095594471f1cc65,1250701811,Astronomers_and_physicists,male,21,1,
3959,North_America,Akira_Kurosawa,True,5,4,1,56,0.9333333333333333,,,,0,045a02171b5eb11a,1355169046,Producers_directors_and_media_figures,male,3,1,
7187,Du_Fu,Britney_Spears,True,6,3,3,124,2.066666666666667,,,3.0,0,0d57c8c57d75e2f5,1280631392,Actors_models_and_celebrities,female,8,1,1.0
6887,Spacecraft_propulsion,William_Gilbert,True,4,3,1,19,0.31666666666666665,,,2.0,0,1abe280821e8c6ff,1254367327,Historical_figures,male,4,1,
5334,Music_of_New_Zealand,Osama_bin_Laden,True,4,3,1,75,1.25,,,,0,2881a7fe5117aaed,1251048783,Political_People,male,15,1,1.0
3436,History_of_slavery,Thomas_Edison,True,10,3,7,227,3.783333333333333,,,,2,00f12d474b00d730,1366429374,Engineers_and_inventors,male,18,1,1.0
4701,Sickle-cell_disease,Helen,True,7,3,4,177,2.95,,,3.0,0,0d57c8c57d75e2f5,1294461433,Historical_figures,female,7,1,1.0
4466,Telescope,Jane_Austen,True,6,3,3,126,2.1,,,,0,0f85b23c7ac58dfe,1332006868,Writers_and_critics,female,17,1,1.0
6627,Roman_villa,Edmund_Burke,True,8,3,5,61,1.0166666666666666,,,3.0,1,70b2863b747128bc,1258338050,Political_People,male,15,1,1.0
4831,Fourteenth_Amendment_to_the_United_States_Constitution,Johannes_Kepler,True,6,3,3,101,1.6833333333333333,,,1.0,1,101779c07d4d00f0,1252149631,Astronomers_and_physicists,male,29,2,1.0
2950,Yellow_fever,Anne_Frank,True,6,3,3,150,2.5,,,,0,506a32ef329b4269,1382227940,Writers_and_critics,female,6,1,1.0
3884,Geneva,Frederick_Douglass,True,5,3,2,95,1.5833333333333333,,,2.0,0,1141817c30a2906b,1368748134,Political_People,male,6,1,
3557,DNA_repair,Condoleezza_Rice,True,4,3,1,54,0.9,,,1.0,0,6f0e968721e433f2,1260909916,Political_People,female,15,1,1.0
2779,Vanilla,Philip_II_of_Spain,True,4,2,2,233,3.8833333333333333,,,,0,0e1215f3554fc253,1375966060,Historical_figures,male,26,2,
6940,Curium,Thomas_Becket,True,14,3,11,351,5.85,,,,3,66ab67f67b567f06,1354538248,Religious_figures_and_leaders,male,14,1,1.0
4325,Nurse_sharks,Leif_Ericson,True,4,3,1,18,0.3,,,,0,0d57c8c57d75e2f5,1283939804,Geographers_and_explorers,male,3,1,
