,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate,log_playtime
7096,Badminton,J._K._Rowling,False,5,3,2,102,restart,<,,1,372bf51e197303b6,1366389652,Writers_and_critics,female,5,1,0.7777777777777778,4.624972813284271
5693,Humanism,Tiger_Woods,False,11,3,8,2076,timeout,Buddhism,,4,052ba30a41ff5a05,1371789671,Sports_and_games_people,male,3,1,0.0,7.638198244285779
2444,Sistine_Chapel_ceiling,Fidel_Castro,True,7,3,4,114,,,,1,71232b4d22d1a48e,1261527185,Political_People,male,23,2,1.0,4.736198448394496
4735,Acid_rain,Abraham_Lincoln,True,11,2,9,121,,,2.0,1,50f8cac41862173b,1304241246,USA_Presidents,male,62,3,1.0,4.795790545596741
6729,Indira_Gandhi,Pete_Sampras,True,5,3,2,64,,,,0,473d6ac602c2b198,1316727999,Sports_and_games_people,male,13,1,,4.1588830833596715
46,Netherlands,Elizabeth_I_of_England,False,5,2,3,114,restart,<,,1,126c53a444812f50,1359983603,Monarchs_of_Great_Britain,female,63,3,0.8823529411764706,4.736198448394496
4736,Acid_rain,Abraham_Lincoln,True,4,2,2,60,,,2.0,0,77214b26091dfccb,1379610057,USA_Presidents,male,62,3,1.0,4.0943445622221
1547,Cancer,J._M._W._Turner,False,6,3,3,1871,timeout,House_of_Lords,,1,187882e45668a3f0,1379293628,Artists,male,12,1,0.5,7.534228326274089
7002,History_of_slavery,James_Cook,False,8,2,6,115,restart,Jamaica,,0,3c9adca23270ed40,1383138071,Geographers_and_explorers,male,29,2,,4.74493212836325
4896,Charles_Darwin,Ludwig_van_Beethoven,True,5,2,3,124,,,2.0,0,2f1f84682744fc7a,1259437310,Performers_and_composers,male,29,2,1.0,4.820281565605037
7225,Northern_Mariana_Islands,Britney_Spears,False,6,4,2,287,restart,New_York_City,,0,018aca6a442cd119,1328456976,Actors_models_and_celebrities,female,8,1,0.06451612903225806,5.659482215759621
2053,Ununoctium,Henry_IV_of_England,True,5,4,1,110,,,2.0,0,1c27cc364095a0eb,1270257196,Monarchs_of_Great_Britain,male,19,1,0.75,4.700480365792417
7417,Cactus,Anne_of_Great_Britain,True,5,3,2,57,,,,0,473d6ac602c2b198,1316467295,Monarchs_of_Great_Britain,female,29,2,1.0,4.04305126783455
1074,Super_Mario_Bros.,Adolf_Hitler,True,3,2,1,22,,,1.0,0,385a8e23387f5f09,1367153053,Political_People,male,109,5,1.0,3.091042453358316
2190,Coconut_crab,David_Beckham,True,5,4,1,174,,,,0,0662ecc3019d336f,1355149526,Sports_and_games_people,male,6,1,0.5,5.159055299214529
6092,Mass_Rapid_Transit_%28Singapore%29,William_and_Mary,True,18,3,15,185,,,2.0,1,3dfc90d435d3607c,1376757333,Monarchs_of_Great_Britain,female,8,1,0.3333333333333333,5.220355825078324
7110,Distilled_beverage,Henry_Purcell,True,6,3,3,276,,,,1,0d57c8c57d75e2f5,1278567112,Performers_and_composers,male,15,1,,5.62040086571715
3140,American_Samoa,Archimedes,False,7,2,5,390,restart,<,,1,26f76e394525328e,1359909466,Mathematicians,male,13,1,,5.966146739123692
2315,Vanilla,Michael_Jordan,True,5,3,2,106,,,,0,368c9d7472aacdec,1386403350,Sports_and_games_people,male,6,1,1.0,4.663439094112067
7215,Pat_Cash,Britney_Spears,False,11,4,7,745,restart,Newspaper,,1,7cd6e3581ea5a40a,1318106297,Actors_models_and_celebrities,female,8,1,0.06451612903225806,6.61338421837956
3547,Roentgenium,Condoleezza_Rice,True,6,3,3,74,,,,0,5fe10fc517e77e58,1354299373,Political_People,female,15,1,1.0,4.30406509320417
7590,Chicken,Barack_Obama,False,11,4,7,1973,timeout,<,,1,016b7c9754b71479,1367853129,Political_People,male,1,1,0.0,7.587310506022615
6206,Tribe,Isaac,True,4,3,1,96,,,2.0,0,7cb9151344678b51,1250035205,Religious_figures_and_leaders,male,10,1,1.0,4.564348191467836
