,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime_sec,playtime_min,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate
4696,Battle_of_Gettysburg,Helen,True,18,3,15,491,8.183333333333334,,,,3,0dcf273f5680894f,1384881573,Historical_figures,female,7,1,1.0
7096,Badminton,J._K._Rowling,False,5,3,2,102,1.7,restart,<,,1,372bf51e197303b6,1366389652,Writers_and_critics,female,5,1,0.6666666666666666
2241,Haiti,Mary_I_of_England,True,13,3,10,165,2.75,,,,0,7c299d90253607ca,1348558231,Monarchs_of_Great_Britain,female,24,2,
5693,Humanism,Tiger_Woods,False,11,3,8,2076,34.6,timeout,Buddhism,,4,052ba30a41ff5a05,1371789671,Sports_and_games_people,male,3,1,0.0
2444,Sistine_Chapel_ceiling,Fidel_Castro,True,7,3,4,114,1.9,,,,1,71232b4d22d1a48e,1261527185,Political_People,male,23,2,1.0
5741,History_of_slavery,Tiger_Woods,False,7,3,4,2080,34.666666666666664,timeout,Football,,0,61efce1931622a56,1388126689,Sports_and_games_people,male,3,1,0.0
5100,16th_century,Victoria_of_the_United_Kingdom,True,7,2,5,84,1.4,,,,0,585ef3723b310075,1231974920,Historical_figures,female,77,4,1.0
1547,Cancer,J._M._W._Turner,False,6,3,3,1871,31.183333333333334,timeout,House_of_Lords,,1,187882e45668a3f0,1379293628,Artists,male,12,1,0.5
4896,Charles_Darwin,Ludwig_van_Beethoven,True,5,2,3,124,2.066666666666667,,,2.0,0,2f1f84682744fc7a,1259437310,Performers_and_composers,male,29,2,1.0
2190,Coconut_crab,David_Beckham,True,5,4,1,174,2.9,,,,0,0662ecc3019d336f,1355149526,Sports_and_games_people,male,6,1,0.5
1022,Fusarium,Adolf_Hitler,True,5,4,1,132,2.2,,,,0,0c66165a2722b100,1368625845,Political_People,male,109,5,1.0
5761,Dunnock,Mary_I_of_Scotland,True,10,4,6,56,0.9333333333333333,,,,1,2203eb5c1afbb3a1,1327266709,Monarchs_of_Great_Britain,female,16,1,0.75
4467,Abraham_Lincoln,Jane_Austen,True,3,2,1,48,0.8,,,,0,38c0462304d4002b,1359389471,Writers_and_critics,female,17,1,1.0
6755,Gas_metal_arc_welding,Henry_VI_of_England,True,24,4,20,554,9.233333333333333,,,,3,64f8e7993e155012,1310282716,Monarchs_of_Great_Britain,male,13,1,
3928,Muhammad_Ali,Hatshepsut,True,11,3,8,236,3.933333333333333,,,3.0,1,6da262d547086a1c,1251101611,Historical_figures,female,4,1,
6354,St_Paul%27s_Cathedral,Marie_Curie,True,20,3,17,380,6.333333333333333,,,,7,48ae1c95368820c9,1354478546,Chemists,female,10,1,0.5
6711,Henry_Morrison_Flagler,Margaret_Thatcher,True,5,3,2,119,1.9833333333333334,,,1.0,0,0d57c8c57d75e2f5,1284750812,Political_People,female,38,2,0.8333333333333334
5309,Philippines,Osama_bin_Laden,True,4,3,1,48,0.8,,,1.0,0,1fde1eee04c26e06,1317610201,Political_People,male,15,1,1.0
6379,Nurse_sharks,Rabindranath_Tagore,False,3,3,0,55,0.9166666666666666,restart,Pacific_Ocean,,0,289c4dfe469bcb10,1345601428,Writers_and_critics,male,12,1,
7229,Equatorial_Guinea,Britney_Spears,False,4,3,1,316,5.266666666666667,restart,Rhythm_and_blues,,0,2f37778730668d11,1364488193,Actors_models_and_celebrities,female,8,1,0.0
7316,Stem_cell,Richard_Wagner,True,4,3,1,95,1.5833333333333333,,,1.0,0,24e3e80921018ab6,1265013576,Performers_and_composers,male,34,2,
6786,Currency,Charles_Babbage,True,17,3,14,357,5.95,,,5.0,1,4b43836160785bfb,1249765252,Computing_People,male,10,1,1.0
7724,Taipei,Eva_Per%C3%B3n,False,4,3,1,322,5.366666666666666,restart,Argentina,,0,28d2148632bf4519,1352882875,Political_People,female,3,1,
4910,Indus_River,Ludwig_van_Beethoven,True,5,3,2,245,4.083333333333333,,,2.0,0,0d57c8c57d75e2f5,1282084894,Performers_and_composers,male,29,2,1.0
6358,Comoros,Marie_Curie,False,5,3,2,41,0.6833333333333333,restart,<,,2,1a8059d9297c2098,1310309805,Chemists,female,10,1,0.5
7727,Radio_telescope,George_Byron%2C_6th_Baron_Byron,False,5,3,2,112,1.8666666666666667,restart,European_Union,,0,1fb750c560e0b925,1357670070,Writers_and_critics,male,5,1,
3418,Comet,Elizabeth_II_of_the_United_Kingdom,False,4,3,1,1864,31.066666666666666,timeout,Westminster_Abbey,,0,66b196465d2b5d38,1357658868,Political_People,female,131,6,0.8333333333333334
7269,Antelope,Abel_Tasman,True,5,3,2,303,5.05,,,3.0,0,10a59c60104192c9,1261910562,Geographers_and_explorers,male,5,1,1.0
7417,Cactus,Anne_of_Great_Britain,True,5,3,2,57,0.95,,,,0,473d6ac602c2b198,1316467295,Monarchs_of_Great_Britain,female,29,2,1.0
6476,Poetry_of_the_United_States,Mary_II_of_England,True,6,3,3,145,2.4166666666666665,,,3.0,0,284ce9986e3258cc,1234040303,Monarchs_of_Great_Britain,female,22,1,1.0
3393,Philippines,Husein_Grada%C5%A1%C4%8Devi%C4%87,True,6,3,3,228,3.8,,,5.0,0,006f5e4771df374b,1322595358,Military_People,male,2,1,1.0
6788,Kolkata,Charles_Babbage,True,4,3,1,55,0.9166666666666666,,,,0,24e9fc2e2d40b81a,1273874622,Computing_People,male,10,1,1.0
6607,Darfur_conflict,Johann_Sebastian_Bach,True,7,2,5,130,2.1666666666666665,,,3.0,0,26f5ea3e58e01350,1260525084,Performers_and_composers,male,30,2,1.0
1661,Screw,Confucius,True,5,3,2,154,2.566666666666667,,,3.0,0,36900eec23bdeea1,1267826483,Philosophers,male,27,2,
5110,Cotopaxi,Victoria_of_the_United_Kingdom,True,6,3,3,159,2.65,,,1.0,0,71688d094165ef47,1381102263,Historical_figures,female,77,4,1.0
4187,Ramesses_II,William_Thomson%2C_1st_Baron_Kelvin,True,11,3,8,215,3.5833333333333335,,,,1,13d51d2f268f80e0,1368707558,Mathematicians,male,7,1,1.0
5421,Manchester,Barbara_McClintock,False,5,3,2,1841,30.683333333333334,timeout,World_Heritage_Site,,0,0c434a196bed807c,1299529401,Human_Scientists,female,6,1,0.75
5409,Jesus,Robert_Boyle,True,6,3,3,72,1.2,,,5.0,0,700b22112ce03e73,1240246305,Chemists,male,19,1,1.0
7686,Pope_Pius_XII,Hilda_of_Whitby,False,9,4,5,946,15.766666666666667,restart,Henry_VIII_of_England,,0,55de59f437fdf78c,1353774269,Religious_figures_and_leaders,female,2,1,
6480,J%C3%B3zef_Pi%C5%82sudski,Mary_II_of_England,True,7,3,4,406,6.766666666666667,,,,0,493ee14c16f55ef9,1299115757,Monarchs_of_Great_Britain,female,22,1,1.0
6345,Mineral,John_Calvin,True,8,3,5,196,3.2666666666666666,,,3.0,1,6e7a907600ca5d3d,1266684056,Religious_figures_and_leaders,male,18,1,
7455,Windows_2000,Bette_Davis,True,5,4,1,126,2.1,,,,0,79a893b03dd4d771,1366290581,Actors_models_and_celebrities,female,7,1,0.3333333333333333
2966,Ununoctium,Anne_Frank,True,5,3,2,77,1.2833333333333334,,,,0,473d6ac602c2b198,1319048754,Writers_and_critics,female,6,1,1.0
41,David_Cameron,Elizabeth_I_of_England,True,6,2,4,170,2.8333333333333335,,,,1,512965462d810c68,1371768096,Monarchs_of_Great_Britain,female,63,3,1.0
7044,Nitrification,Zionism,True,4,3,1,123,2.05,,,2.0,0,4d469f3946589df9,1251524234,Political_People,male,25,2,
6827,Philippines,Zoroaster,False,4,3,1,255,4.25,restart,Religion,,0,0d45688105684d24,1355315165,Religious_figures_and_leaders,male,9,1,
5762,Hadrian%27s_Wall,Mary_I_of_Scotland,False,5,3,2,1837,30.616666666666667,timeout,Mary_I_of_England,,0,2f7f5bc901f63206,1340910915,Monarchs_of_Great_Britain,female,16,1,0.75
7433,Nintendo_Entertainment_System,Henry_VII_of_England,True,5,3,2,258,4.3,,,,0,0d9c6fef6a2eddd1,1249759264,Monarchs_of_Great_Britain,male,30,2,1.0
7425,Zebra_shark,Henry_VII_of_England,True,5,3,2,44,0.7333333333333333,,,,0,473d6ac602c2b198,1329775885,Monarchs_of_Great_Britain,male,30,2,1.0
4950,Buddhism,Rosa_Parks,True,10,4,6,208,3.466666666666667,,,3.0,1,649b437c2636c1ca,1351550193,Historical_figures,female,3,1,
5418,Chicken,Barbara_McClintock,True,4,3,1,31,0.5166666666666667,,,1.0,0,0342670f49ede57b,1315515447,Human_Scientists,female,6,1,0.75
5749,Cancer,Mary_I_of_Scotland,True,9,3,6,203,3.3833333333333333,,,,0,5c47b517641e8486,1259427057,Monarchs_of_Great_Britain,female,16,1,0.75
6665,Spacecraft_propulsion,Pel%C3%A9,True,6,4,2,168,2.8,,,,0,1b9973683b0a88f2,1327651932,Sports_and_games_people,male,10,1,1.0
2665,Francis_Drake,Benjamin_Franklin,True,7,3,4,82,1.3666666666666667,,,2.0,1,6b039e9953cf075e,1259072991,Historical_figures,male,32,2,
7216,Ununoctium,Britney_Spears,False,6,4,2,1951,32.516666666666666,timeout,Neil_Young,,0,419186222306f380,1320787380,Actors_models_and_celebrities,female,8,1,0.0
5048,Space_Race,Richard_III_of_England,False,6,3,3,1985,33.083333333333336,timeout,Richard_I_of_England,,0,6014893e743ee5d8,1366068846,Monarchs_of_Great_Britain,male,15,1,0.5
37,Kubla_Khan,Elizabeth_I_of_England,True,8,3,5,154,2.566666666666667,,,3.0,1,42d0c94b7c6e3fbe,1360853402,Monarchs_of_Great_Britain,female,63,3,1.0
6352,Borage,Marie_Curie,True,4,3,1,95,1.5833333333333333,,,,0,76baa89b5bf0f0df,1321295135,Chemists,female,10,1,0.5
2420,Chemistry,Fidel_Castro,True,7,3,4,88,1.4666666666666666,,,,0,0094025522865764,1354337241,Political_People,male,23,2,1.0
5367,Tanzania,Bruce_Springsteen,True,5,3,2,140,2.3333333333333335,,,3.0,0,3c8ba56662c9e9c2,1266641809,Performers_and_composers,male,5,1,1.0
3720,Barbary_Lion,Keira_Knightley,True,5,4,1,35,0.5833333333333334,,,2.0,0,27bb85bf43c94394,1237445563,Actors_models_and_celebrities,female,3,1,0.5
7352,Mechanical_work,Joan_of_Arc,False,7,4,3,1877,31.283333333333335,timeout,Middle_Ages,,0,25abf3566714fd52,1337957251,Military_People,female,7,1,0.25
5224,Vasco_da_Gama,Vivien_Leigh,False,12,4,8,164,2.7333333333333334,restart,<,,2,447554f33458d130,1298785915,Actors_models_and_celebrities,female,8,1,
6348,Lerwick,Marie_Curie,True,4,3,1,99,1.65,,,1.0,0,0d57c8c57d75e2f5,1293508866,Chemists,female,10,1,0.5
5378,ZX_Spectrum,Bruce_Springsteen,True,13,4,9,264,4.4,,,3.0,3,22561dac152b0b35,1389616827,Performers_and_composers,male,5,1,1.0
3627,Boundary_Waters_Canoe_Area_Wilderness,Malcolm_X,True,6,3,3,86,1.4333333333333333,,,5.0,1,3be1650444141c18,1257177892,Religious_figures_and_leaders,male,7,1,
2315,Vanilla,Michael_Jordan,True,5,3,2,106,1.7666666666666666,,,,0,368c9d7472aacdec,1386403350,Sports_and_games_people,male,6,1,1.0
6050,Mount_Everest,Demosthenes,True,24,4,20,570,9.5,,,2.0,9,20bf683c0101495a,1240116863,Historical_figures,male,7,1,
35,Opera,Elizabeth_I_of_England,True,4,2,2,33,0.55,,,,0,08f04f8d02251a6b,1388858898,Monarchs_of_Great_Britain,female,63,3,1.0
6059,Ammosaurus,William_IV_of_the_United_Kingdom,True,5,3,2,35,0.5833333333333334,,,1.0,0,2806715b30599fc8,1369088066,Monarchs_of_Great_Britain,male,25,2,
7224,Sheffield,Britney_Spears,False,3,3,0,1867,31.116666666666667,timeout,Popular_culture,,0,63322a01228519d5,1327349662,Actors_models_and_celebrities,female,8,1,0.0
6355,Silicon,Marie_Curie,False,11,3,8,247,4.116666666666666,restart,Electron,,1,3b189bda54563bd2,1297712209,Chemists,female,10,1,0.5
3782,Tooth_development,Nikola_Tesla,True,4,3,1,94,1.5666666666666667,,,,0,473d6ac602c2b198,1323369883,Engineers_and_inventors,male,15,1,
6667,Silver,Pel%C3%A9,True,4,3,1,48,0.8,,,,0,33d7eeb558a95b79,1351652326,Sports_and_games_people,male,10,1,1.0
7004,Djibouti,Boudica,True,6,3,3,253,4.216666666666667,,,3.0,0,0d57c8c57d75e2f5,1283700884,Historical_figures,female,5,1,0.375
2956,Applied_mathematics,Anne_Frank,True,6,3,3,95,1.5833333333333333,,,,0,3bf1fd1d1aea1a68,1304266699,Writers_and_critics,female,6,1,1.0
7196,2nd_century,Britney_Spears,False,28,3,25,681,11.35,restart,Culture,,6,1b94cd1029c7078e,1298784684,Actors_models_and_celebrities,female,8,1,0.0
3952,San_Francisco%2C_California,Indira_Gandhi,True,9,3,6,107,1.7833333333333334,,,,2,5b9170fb32eae9b4,1355685338,Political_People,female,12,1,1.0
2041,Love,Henry_IV_of_England,True,9,4,5,105,1.75,,,1.0,0,60aacdb56cc721c5,1345251442,Monarchs_of_Great_Britain,male,19,1,0.75
1979,Lettuce,Carl_Jung,True,6,3,3,77,1.2833333333333334,,,4.0,0,3fae946c6d9b3bd5,1225364150,Human_Scientists,male,14,1,1.0
3722,Love,Keira_Knightley,False,4,4,0,1849,30.816666666666666,timeout,<,,1,415a5a745c83af40,1333340087,Actors_models_and_celebrities,female,3,1,0.5
6512,Apollo_11,Romulus_Augustus,True,5,3,2,128,2.1333333333333333,,,,0,3dc25e89579787e2,1248896848,Historical_figures,male,5,1,
1932,Bottlenose_Dolphin,Ronald_Reagan,True,4,3,1,60,1.0,,,,0,0d57c8c57d75e2f5,1280642703,USA_Presidents,male,69,4,1.0
5339,Nintendo,Osama_bin_Laden,True,4,3,1,116,1.9333333333333333,,,3.0,0,598e88d166ee9f90,1263147216,Political_People,male,15,1,1.0
4987,String_theory,Dwight_D._Eisenhower,True,5,3,2,63,1.05,,,,0,609da9454b410bac,1267671128,USA_Presidents,male,37,2,
3821,Cotopaxi,Alexander_the_Great,True,5,3,2,229,3.816666666666667,,,,0,0299542414c3f20a,1257975634,Military_People,male,78,4,1.0
7087,Black-winged_Stilt,J._K._Rowling,True,4,3,1,75,1.25,,,2.0,0,482256e90e245bc8,1264487105,Writers_and_critics,female,5,1,0.6666666666666666
6361,Johannesburg,Marie_Curie,False,7,3,4,2095,34.916666666666664,timeout,Niels_Bohr,,1,4841999445d305cb,1374868385,Chemists,female,10,1,0.5
5906,South_Africa,Rowan_Williams,False,4,3,1,188,3.1333333333333333,restart,England,,0,1942301605c87974,1298678937,Religious_figures_and_leaders,male,9,1,
6920,Barn_Owl,Nicolaus_Copernicus,True,8,3,5,626,10.433333333333334,,,,0,3095594471f1cc65,1250701811,Astronomers_and_physicists,male,21,1,
4699,Saltasaurus,Helen,True,6,3,3,61,1.0166666666666666,,,1.0,0,769e03d45862b4b6,1260324133,Historical_figures,female,7,1,1.0
6259,Windows_2000,Kylie_Minogue,False,3,3,0,1868,31.133333333333333,timeout,HTTP_cookie,,0,2c2196e921fbb184,1348363864,Performers_and_composers,female,6,1,0.1111111111111111
7349,Vanilla,Joan_of_Arc,False,9,3,6,2084,34.733333333333334,timeout,Napoleon_I_of_France,,1,4288c5d3017ad5ed,1329206734,Military_People,female,7,1,0.25
7604,Telescope,Francis_of_Assisi,False,7,3,4,150,2.5,restart,<,,3,1b94cd1029c7078e,1298783078,Religious_figures_and_leaders,male,9,1,
2834,Dominican_Republic,Wright_brothers,True,4,3,1,38,0.6333333333333333,,,,0,0d57c8c57d75e2f5,1293772204,Engineers_and_inventors,male,4,1,
6251,Human_rights,Homer,False,7,2,5,114,1.9,restart,The_Simpsons,,0,7c7a796932db8992,1333927427,Writers_and_critics,male,56,3,
6284,Arctic,Bill_Gates,True,5,3,2,59,0.9833333333333333,,,,0,0d57c8c57d75e2f5,1290919557,Computing_People,male,15,1,1.0
5434,Dubai,Plato,True,4,3,1,138,2.3,,,,0,0d57c8c57d75e2f5,1295343182,Philosophers,male,76,4,
5334,Music_of_New_Zealand,Osama_bin_Laden,True,4,3,1,75,1.25,,,,0,2881a7fe5117aaed,1251048783,Political_People,male,15,1,1.0
7204,Great_Red_Spot,Britney_Spears,False,6,4,2,182,3.033333333333333,restart,American_popular_music,,0,4339fe343ac82d00,1301538440,Actors_models_and_celebrities,female,8,1,0.0
4466,Telescope,Jane_Austen,True,6,3,3,126,2.1,,,,0,0f85b23c7ac58dfe,1332006868,Writers_and_critics,female,17,1,1.0
4847,Obi-Wan_Kenobi,Christina_Aguilera,True,4,3,1,103,1.7166666666666666,,,,0,54156ef968205c55,1267075951,Performers_and_composers,female,5,1,0.5
7013,Tamarind,Boudica,False,4,4,0,144,2.4,restart,Holy_Roman_Empire,,0,61a48f1b655a3167,1305493403,Historical_figures,female,5,1,0.375
6627,Roman_villa,Edmund_Burke,True,8,3,5,61,1.0166666666666666,,,3.0,1,70b2863b747128bc,1258338050,Political_People,male,15,1,
4831,Fourteenth_Amendment_to_the_United_States_Constitution,Johannes_Kepler,True,6,3,3,101,1.6833333333333333,,,1.0,1,101779c07d4d00f0,1252149631,Astronomers_and_physicists,male,29,2,1.0
2950,Yellow_fever,Anne_Frank,True,6,3,3,150,2.5,,,,0,506a32ef329b4269,1382227940,Writers_and_critics,female,6,1,1.0
6347,Anglican_Communion,Marie_Curie,True,39,3,36,1035,17.25,,,5.0,14,0d57c8c57d75e2f5,1295004590,Chemists,female,10,1,0.5
3884,Geneva,Frederick_Douglass,True,5,3,2,95,1.5833333333333333,,,2.0,0,1141817c30a2906b,1368748134,Political_People,male,6,1,
5042,Space_Race,Richard_III_of_England,True,9,3,6,392,6.533333333333333,,,4.0,0,41ccca6f742ffb73,1298822214,Monarchs_of_Great_Britain,male,15,1,0.5
6940,Curium,Thomas_Becket,True,14,3,11,351,5.85,,,,3,66ab67f67b567f06,1354538248,Religious_figures_and_leaders,male,14,1,
6710,Darfur_conflict,Margaret_Thatcher,True,3,2,1,39,0.65,,,1.0,0,0299542414c3f20a,1260390051,Political_People,female,38,2,0.8333333333333334
3189,Jakarta,Florence_Nightingale,False,6,3,3,128,2.1333333333333333,restart,United_Kingdom,,0,5e5b3e43164d9fb9,1366727416,Human_Scientists,female,7,1,0.3
7629,Colley_Cibber,Carl_Lewis,False,8,3,5,147,2.45,restart,Football,,2,7ea35bcb79060c2e,1362350008,Sports_and_games_people,male,3,1,
7012,Walrus,Boudica,False,8,4,4,1952,32.53333333333333,timeout,<,,3,0c4264ae397c3e0e,1303985285,Historical_figures,female,5,1,0.375
