,name,category,gender,nr_link_out,nr_link_in,tot_target_count,unf_target_count,fin_target_count,succ_rate
95,Abel_Tasman,Geographers_and_explorers,male,14,5,8.0,1.0,7.0,0.875
105,Abraham_Lincoln,USA_Presidents,male,35,62,36.0,1.0,35.0,0.9722222222222222
129,Adam_Smith,Historical_figures,male,27,38,10.0,1.0,9.0,0.9
134,Adolf_Hitler,Political_People,male,78,109,644.0,41.0,603.0,0.9363354037267081
159,Agamemnon,Historical_figures,male,11,9,23.0,4.0,19.0,0.8260869565217391
170,Akbar,Historical_figures,male,16,11,1.0,1.0,,
172,Akhenaten,Historical_figures,male,12,5,5.0,,5.0,1.0
173,Akira_Kurosawa,Producers_directors_and_media_figures,male,12,3,9.0,5.0,4.0,0.4444444444444444
180,Alan_Turing,Mathematicians,male,22,11,14.0,8.0,6.0,0.42857142857142855
184,Albert_Einstein,Astronomers_and_physicists,male,87,89,52.0,4.0,48.0,0.9230769230769231
185,Alberto_Santos-Dumont,Engineers_and_inventors,male,24,4,2.0,2.0,,
190,Albrecht_D%C3%BCrer,Mathematicians,male,28,14,2.0,2.0,,
194,Alcibiades,Historical_figures,male,12,7,7.0,2.0,5.0,0.7142857142857143
196,Aleksandr_Pushkin,Writers_and_critics,male,12,10,9.0,1.0,8.0,0.8888888888888888
197,Aleksandr_Vasilevsky,Military_People,male,10,3,1.0,1.0,,
199,Alexander_Graham_Bell,Engineers_and_inventors,male,19,8,15.0,5.0,10.0,0.6666666666666666
200,Alexander_Hamilton,Historical_figures,male,23,23,10.0,,10.0,1.0
201,Alexander_the_Great,Military_People,male,56,78,27.0,3.0,24.0,0.8888888888888888
202,Alfred_Hitchcock,Producers_directors_and_media_figures,male,23,15,11.0,4.0,7.0,0.6363636363636364
203,Alfred_Nobel,Chemists,male,15,6,16.0,3.0,13.0,0.8125
205,Alfred_the_Great,Military_People,male,29,21,10.0,2.0,8.0,0.8
206,Alfred_the_Great,Monarchs_of_Great_Britain,male,29,21,10.0,2.0,8.0,0.8
270,Andr%C3%A9s_Nocioni,Sports_and_games_people,male,11,1,,,,
271,Andrew_Carnegie,Engineers_and_inventors,male,41,12,18.0,14.0,4.0,0.2222222222222222
272,Andrew_Dickson_White,Political_People,male,11,2,1.0,1.0,,
274,Andrew_Jackson,USA_Presidents,male,16,22,15.0,2.0,13.0,0.8666666666666667
275,Andrew_Johnson,USA_Presidents,male,8,16,10.0,1.0,9.0,0.9
276,Andrew_Robinson,Actors_models_and_celebrities,male,13,1,18.0,14.0,4.0,0.2222222222222222
279,Andy_Warhol,Artists,male,11,16,19.0,1.0,18.0,0.9473684210526315
302,Anne_Frank,Writers_and_critics,female,44,6,46.0,5.0,41.0,0.8913043478260869
304,Anne_of_Great_Britain,Monarchs_of_Great_Britain,female,32,29,12.0,,12.0,1.0
317,Anthony_van_Dyck,Artists,male,18,7,5.0,1.0,4.0,0.8
323,Antoine_Lavoisier,Chemists,male,26,17,1.0,1.0,,
324,Anton%C3%ADn_Dvo%C5%99%C3%A1k,Performers_and_composers,male,21,7,1.0,1.0,,
326,Antonio_Vivaldi,Performers_and_composers,male,19,11,13.0,8.0,5.0,0.38461538461538464
351,Archbishop_of_Canterbury,Religious_figures_and_leaders,male,26,70,13.0,1.0,12.0,0.9230769230769231
352,Archimedes,Mathematicians,male,22,13,12.0,3.0,9.0,0.75
367,Ariel_Sharon,Political_People,male,28,8,9.0,,9.0,1.0
369,Aristotle,Philosophers,male,37,105,35.0,4.0,31.0,0.8857142857142857
372,Armand_Jean_du_Plessis%2C_Cardinal_Richelieu,Historical_figures,male,26,2,1.0,1.0,,
375,Armia_Krajowa,Political_People,male,14,7,,,,
376,Arnold_Schwarzenegger,Producers_directors_and_media_figures,male,18,10,27.0,3.0,24.0,0.8888888888888888
383,Arthur_Ernest_Percival,Military_People,male,32,1,,,,
385,Arthur_Sullivan,Writers_and_critics,male,24,6,,,,
388,Arthur_Wellesley%2C_1st_Duke_of_Wellington,Military_People,male,43,24,5.0,1.0,4.0,0.8
408,Athanasius_Kircher,Human_Scientists,male,51,3,1.0,1.0,,
422,Attalus_I,Historical_figures,male,12,2,1.0,1.0,,
424,Attila_the_Hun,Historical_figures,male,35,15,30.0,8.0,22.0,0.7333333333333333
425,Attila_the_Hun,Military_People,male,35,15,30.0,8.0,22.0,0.7333333333333333
428,Augusta%2C_Lady_Gregory,Writers_and_critics,female,23,1,,,,
430,Auguste_Rodin,Artists,male,16,8,7.0,2.0,5.0,0.7142857142857143
431,Augustine_of_Hippo,Religious_figures_and_leaders,male,21,42,7.0,,7.0,1.0
432,Augustus,Historical_figures,male,14,39,12.0,1.0,11.0,0.9166666666666666
462,Ayaan_Hirsi_Ali,Political_People,male,31,4,1.0,1.0,,
464,Aymer_de_Valence%2C_2nd_Earl_of_Pembroke,Historical_figures,male,14,1,2.0,2.0,,
477,Babe_Ruth,Sports_and_games_people,male,8,8,22.0,,22.0,1.0
480,Babur,Historical_figures,male,15,11,7.0,2.0,5.0,0.7142857142857143
509,Banksy,Artists,male,11,1,,,,
511,Barack_Obama,Political_People,male,48,1,18.0,18.0,,
514,Barbara_McClintock,Human_Scientists,female,12,6,9.0,4.0,5.0,0.5555555555555556
525,Baruch_Spinoza,Philosophers,male,38,17,5.0,,5.0,1.0
609,Ben_Jonson,Writers_and_critics,male,19,14,8.0,,8.0,1.0
614,Benito_Mussolini,Political_People,male,42,22,23.0,,23.0,1.0
616,Benjamin_Britten,Performers_and_composers,male,9,14,6.0,2.0,4.0,0.6666666666666666
619,Benjamin_Disraeli%2C_1st_Earl_of_Beaconsfield,Political_People,male,21,22,,,,
620,Benjamin_Franklin,Astronomers_and_physicists,male,29,32,36.0,4.0,32.0,0.8888888888888888
621,Benjamin_Franklin,Historical_figures,male,29,32,36.0,4.0,32.0,0.8888888888888888
622,Benjamin_Harrison,USA_Presidents,male,20,14,9.0,,9.0,1.0
634,Bernard_Hinault,Sports_and_games_people,male,5,4,,,,
635,Bertrand_Russell,Philosophers,male,69,30,10.0,1.0,9.0,0.9
638,Bette_Davis,Actors_models_and_celebrities,female,23,7,12.0,6.0,6.0,0.5
645,Bill_Clinton,Political_People,male,67,64,59.0,4.0,55.0,0.9322033898305084
646,Bill_Gates,Computing_People,male,26,15,45.0,8.0,37.0,0.8222222222222222
647,Billie_Holiday,Performers_and_composers,female,8,9,8.0,2.0,6.0,0.75
670,Bj%C3%B6rn_Borg,Sports_and_games_people,male,25,7,6.0,,6.0,1.0
691,Blaise_Pascal,Mathematicians,male,25,23,7.0,,7.0,1.0
707,Bob_Dylan,Performers_and_composers,male,44,33,18.0,1.0,17.0,0.9444444444444444
708,Bob_Marley,Performers_and_composers,male,27,6,21.0,8.0,13.0,0.6190476190476191
732,Boris_Becker,Sports_and_games_people,male,36,9,2.0,2.0,,
745,Boudica,Historical_figures,female,22,5,11.0,6.0,5.0,0.45454545454545453
760,Brandon_Routh,Actors_models_and_celebrities,male,11,1,,,,
767,Breaker_Morant,Historical_figures,male,14,1,5.0,,5.0,1.0
787,Britney_Spears,Actors_models_and_celebrities,female,27,8,50.0,46.0,4.0,0.08
791,Brothers_Grimm,Writers_and_critics,male,6,8,10.0,1.0,9.0,0.9
793,Bruce_Lee,Actors_models_and_celebrities,male,21,1,,,,
794,Bruce_Springsteen,Performers_and_composers,male,27,5,18.0,5.0,13.0,0.7222222222222222
804,Buckminster_Fuller,Engineers_and_inventors,male,11,3,6.0,2.0,4.0,0.6666666666666666
806,Buddha,Religious_figures_and_leaders,male,10,46,36.0,3.0,33.0,0.9166666666666666
825,C%C3%A6dmon,Writers_and_critics,male,12,4,1.0,1.0,,
