,name,category,gender,nr_link_out,nr_link_in,tot_target_count,unf_target_count,fin_target_count,succ_rate
828,C._S._Lewis,Writers_and_critics,male,40,9,7.0,3.0,4.0,0.5714285714285714
837,Cai_Lun,Engineers_and_inventors,male,5,2,,,,
850,Calvin_Coolidge,USA_Presidents,male,19,13,5.0,,5.0,1.0
871,Canaletto,Artists,male,2,5,,,,
879,Canute_the_Great,Monarchs_of_Great_Britain,male,23,18,4.0,,4.0,1.0
894,Caratacus,Historical_figures,male,7,1,,,,
895,Caravaggio,Artists,male,16,8,2.0,2.0,,
903,Carl_Friedrich_Gauss,Mathematicians,male,20,17,7.0,1.0,6.0,0.8571428571428571
905,Carl_Jung,Human_Scientists,male,29,14,26.0,4.0,22.0,0.8461538461538461
906,Carl_Lewis,Sports_and_games_people,male,18,3,3.0,3.0,,
907,Carl_Sagan,Astronomers_and_physicists,male,46,13,2.0,2.0,,
912,Carolus_Linnaeus,Human_Scientists,male,23,218,4.0,,4.0,1.0
924,Cat_Stevens,Performers_and_composers,male,29,1,2.0,2.0,,
929,Catherine_II_of_Russia,Historical_figures,female,24,9,3.0,3.0,,
939,Celine_Dion,Performers_and_composers,female,29,5,4.0,4.0,,
960,Charlemagne,Historical_figures,male,49,57,10.0,,10.0,1.0
961,Charles_Babbage,Computing_People,male,16,10,8.0,1.0,7.0,0.875
962,Charles_Darwin,Human_Scientists,male,56,56,20.0,5.0,15.0,0.75
963,Charles_Dickens,Writers_and_critics,male,24,38,18.0,2.0,16.0,0.8888888888888888
964,Charles_Etienne_Brasseur_de_Bourbourg,Writers_and_critics,male,20,4,1.0,1.0,,
966,Charles_II_of_England,Monarchs_of_Great_Britain,male,49,72,7.0,2.0,5.0,0.7142857142857143
968,Charles_I_of_England,Monarchs_of_Great_Britain,male,41,64,21.0,2.0,19.0,0.9047619047619048
969,Charles_Sumner,Historical_figures,male,13,5,4.0,,4.0,1.0
970,Charles_V%2C_Holy_Roman_Emperor,Historical_figures,male,26,43,15.0,3.0,12.0,0.8
971,Charlie_Chaplin,Actors_models_and_celebrities,male,31,10,33.0,6.0,27.0,0.8181818181818182
974,Che_Guevara,Historical_figures,male,58,10,18.0,2.0,16.0,0.8888888888888888
986,Chester_A._Arthur,USA_Presidents,male,18,7,15.0,,15.0,1.0
1016,Chris_Evert,Sports_and_games_people,male,15,6,6.0,,6.0,1.0
1017,Christian_Bale,Actors_models_and_celebrities,male,22,4,5.0,5.0,,
1021,Christina_Aguilera,Performers_and_composers,female,34,5,15.0,8.0,7.0,0.4666666666666667
1025,Christopher_Columbus,Geographers_and_explorers,male,41,68,16.0,1.0,15.0,0.9375
1027,Christopher_Wren,Engineers_and_inventors,male,35,17,10.0,4.0,6.0,0.6
1049,Claude_L%C3%A9vi-Strauss,Human_Scientists,male,13,5,,,,
1050,Claude_Monet,Artists,male,12,12,1.0,,1.0,1.0
1051,Claudius,Historical_figures,male,13,16,14.0,3.0,11.0,0.7857142857142857
1053,Cleopatra_VII,Historical_figures,female,18,17,15.0,2.0,13.0,0.8666666666666667
1088,Colley_Cibber,Writers_and_critics,male,14,7,,,,
1099,Columba,Religious_figures_and_leaders,male,10,13,7.0,2.0,5.0,0.7142857142857143
1138,Condoleezza_Rice,Political_People,female,91,15,22.0,,22.0,1.0
1141,Confucius,Philosophers,male,19,27,30.0,2.0,28.0,0.9333333333333333
1144,Constantine_I,Historical_figures,male,31,11,,,,
1256,Cyrus_K._Holliday,Political_People,male,6,1,,,,
1257,Cyrus_the_Great,Historical_figures,male,23,8,,,,
1275,Damon_Hill,Sports_and_games_people,male,12,5,2.0,2.0,,
1278,Daniel_Day-Lewis,Actors_models_and_celebrities,male,9,2,2.0,2.0,,
1279,Daniel_Ellsberg,Political_People,male,14,1,,,,
1282,Dante_Alighieri,Writers_and_critics,male,15,40,8.0,1.0,7.0,0.875
1292,David_Attenborough,Producers_directors_and_media_figures,male,36,3,3.0,3.0,,
1293,David_Beckham,Sports_and_games_people,male,21,6,32.0,9.0,23.0,0.71875
1295,David_Cameron,Political_People,male,58,7,2.0,2.0,,
1299,David_Hilbert,Mathematicians,male,13,12,6.0,1.0,5.0,0.8333333333333334
1300,David_Hume,Philosophers,male,36,32,4.0,,4.0,1.0
1303,David_Livingstone,Geographers_and_explorers,male,18,12,5.0,,5.0,1.0
1325,Demosthenes,Historical_figures,male,31,7,7.0,2.0,5.0,0.7142857142857143
1326,Denis_Law,Sports_and_games_people,male,9,1,11.0,2.0,9.0,0.8181818181818182
1329,Dennis_Ritchie,Computing_People,male,8,2,5.0,,5.0,1.0
1335,Desmond_Tutu,Religious_figures_and_leaders,male,29,10,8.0,1.0,7.0,0.875
1344,Diane_Keaton,Actors_models_and_celebrities,female,12,2,18.0,14.0,4.0,0.2222222222222222
1348,Diego_Maradona,Sports_and_games_people,male,19,5,16.0,,16.0,1.0
1349,Diego_Vel%C3%A1zquez,Artists,male,37,9,,,,
1366,Dmitri_Mendeleev,Chemists,male,22,9,14.0,2.0,12.0,0.8571428571428571
1381,Donald_Bradman,Sports_and_games_people,male,15,4,9.0,4.0,5.0,0.5555555555555556
1383,Donald_Knuth,Computing_People,male,10,3,8.0,3.0,5.0,0.625
1388,Douglas_Adams,Writers_and_critics,male,29,15,10.0,5.0,5.0,0.5
1393,Dr._Seuss,Writers_and_critics,male,18,3,19.0,5.0,14.0,0.7368421052631579
1405,Du_Fu,Writers_and_critics,male,27,4,6.0,1.0,5.0,0.8333333333333334
1422,Dwight_D._Eisenhower,USA_Presidents,male,41,37,10.0,,10.0,1.0
1425,E._E._Cummings,Writers_and_critics,male,21,7,9.0,3.0,6.0,0.6666666666666666
1433,Earl_of_Shaftesbury,Political_People,male,4,3,,,,
1462,Edgar_Allan_Poe,Writers_and_critics,male,50,19,18.0,4.0,14.0,0.7777777777777778
1466,Edmond_Halley,Mathematicians,male,20,10,4.0,,4.0,1.0
1469,Edmund_Burke,Political_People,male,42,15,4.0,,4.0,1.0
1470,Edmund_Hillary,Geographers_and_explorers,male,14,4,6.0,1.0,5.0,0.8333333333333334
1477,Edward_II_of_England,Monarchs_of_Great_Britain,male,12,13,17.0,2.0,15.0,0.8823529411764706
1479,Edward_IV_of_England,Monarchs_of_Great_Britain,male,17,16,11.0,2.0,9.0,0.8181818181818182
1481,Edward_I_of_England,Monarchs_of_Great_Britain,male,22,31,14.0,2.0,12.0,0.8571428571428571
1482,Edward_Jenner,Human_Scientists,male,4,5,7.0,2.0,5.0,0.7142857142857143
1483,Edward_Teller,Astronomers_and_physicists,male,32,8,8.0,3.0,5.0,0.625
1485,Edward_VIII_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,40,15,13.0,2.0,11.0,0.8461538461538461
1487,Edward_VII_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,48,31,13.0,2.0,11.0,0.8461538461538461
1491,Edward_the_Confessor,Monarchs_of_Great_Britain,male,18,25,14.0,6.0,8.0,0.5714285714285714
1492,Edward_the_Confessor,Religious_figures_and_leaders,male,18,25,14.0,6.0,8.0,0.5714285714285714
1494,Edwin_of_Northumbria,Historical_figures,male,14,7,1.0,1.0,,
1505,Eilmer_of_Malmesbury,Historical_figures,male,4,2,1.0,1.0,,
1509,El_Lissitzky,Artists,male,38,2,,,,
1514,Elagabalus,Historical_figures,male,10,2,9.0,,9.0,1.0
1535,Elias_Ashmole,Historical_figures,male,16,1,,,,
1538,Elizabeth_Fry,Political_People,female,12,2,,,,
1540,Elizabeth_II_of_the_United_Kingdom,Political_People,female,100,131,17.0,1.0,16.0,0.9411764705882353
1541,Elizabeth_I_of_England,Monarchs_of_Great_Britain,female,54,63,24.0,4.0,20.0,0.8333333333333334
1543,Elvis_Presley,Performers_and_composers,male,49,29,31.0,5.0,26.0,0.8387096774193549
1545,Emanuel_Swedenborg,Philosophers,male,28,5,10.0,7.0,3.0,0.3
1574,Epaminondas,Military_People,male,7,3,,,,
1583,Eric_Clapton,Performers_and_composers,male,34,8,7.0,2.0,5.0,0.7142857142857143
1588,Ernest_Hemingway,Writers_and_critics,male,42,22,10.0,3.0,7.0,0.7
1590,Ernest_Rutherford,Engineers_and_inventors,male,20,14,16.0,4.0,12.0,0.75
1606,Euclid,Mathematicians,male,11,29,11.0,3.0,8.0,0.7272727272727273
1627,Eva_Per%C3%B3n,Political_People,female,38,3,1.0,1.0,,
1645,Ezra_Pound,Writers_and_critics,male,32,23,4.0,4.0,,
1676,Felice_Beato,Artists,male,27,1,,,,
1677,Felix_Mendelssohn,Performers_and_composers,male,25,16,5.0,1.0,4.0,0.8
1682,Ferdinand_Magellan,Geographers_and_explorers,male,35,15,6.0,1.0,5.0,0.8333333333333334
1693,Fidel_Castro,Political_People,male,46,23,44.0,5.0,39.0,0.8863636363636364
1734,Florence_Nightingale,Human_Scientists,female,26,7,17.0,12.0,5.0,0.29411764705882354
1770,Fr%C3%A9d%C3%A9ric_Chopin,Performers_and_composers,male,34,11,8.0,2.0,6.0,0.75
1776,Francis_Bacon,Philosophers,male,21,16,12.0,1.0,11.0,0.9166666666666666
1778,Francis_Crick,Human_Scientists,male,31,11,,,,
1780,Francis_Drake,Historical_figures,male,20,10,6.0,,6.0,1.0
1782,Francis_of_Assisi,Religious_figures_and_leaders,male,17,9,1.0,1.0,,
1783,Francisco_Goya,Artists,male,12,7,1.0,1.0,,
1789,Franklin_D._Roosevelt,USA_Presidents,male,72,60,35.0,3.0,32.0,0.9142857142857143
1790,Franklin_Pierce,USA_Presidents,male,22,7,8.0,,8.0,1.0
1792,Franz_Kafka,Writers_and_critics,male,26,15,9.0,3.0,6.0,0.6666666666666666
1793,Franz_Schubert,Performers_and_composers,male,13,12,21.0,,21.0,1.0
1794,Frederick_Douglass,Political_People,male,27,6,8.0,,8.0,1.0
1796,Frederick_II%2C_Holy_Roman_Emperor,Historical_figures,male,23,10,5.0,1.0,4.0,0.8
1797,Frederick_II_of_Prussia,Historical_figures,male,35,8,11.0,7.0,4.0,0.36363636363636365
1808,Friedrich_Nietzsche,Philosophers,male,49,27,11.0,1.0,10.0,0.9090909090909091
1820,Fyodor_Dostoevsky,Writers_and_critics,male,26,18,6.0,2.0,4.0,0.6666666666666666
1837,Galileo_Galilei,Astronomers_and_physicists,male,48,45,36.0,6.0,30.0,0.8333333333333334
1838,Galileo_Galilei,Engineers_and_inventors,male,48,45,36.0,6.0,30.0,0.8333333333333334
1860,Gautama_Buddha,Religious_figures_and_leaders,male,18,23,12.0,,12.0,1.0
1870,Genghis_Khan,Historical_figures,male,58,25,32.0,3.0,29.0,0.90625
1882,Georg_Cantor,Mathematicians,male,22,12,1.0,1.0,,
1886,George_Byron%2C_6th_Baron_Byron,Writers_and_critics,male,45,5,1.0,1.0,,
1887,George_Eliot,Writers_and_critics,male,14,10,7.0,2.0,5.0,0.7142857142857143
1888,George_Fox,Religious_figures_and_leaders,male,27,3,10.0,6.0,4.0,0.4
1889,George_H._W._Bush,USA_Presidents,male,46,32,62.0,6.0,56.0,0.9032258064516129
1891,George_Herbert,Writers_and_critics,male,14,2,,,,
1893,George_III_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,53,39,7.0,1.0,6.0,0.8571428571428571
1894,George_II_of_Great_Britain,Monarchs_of_Great_Britain,male,24,13,12.0,1.0,11.0,0.9166666666666666
1896,George_IV_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,39,21,17.0,3.0,14.0,0.8235294117647058
1898,George_I_of_Great_Britain,Monarchs_of_Great_Britain,male,30,17,8.0,2.0,6.0,0.75
1901,George_VI_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,39,23,14.0,2.0,12.0,0.8571428571428571
1903,George_V_of_the_United_Kingdom,Monarchs_of_Great_Britain,male,43,33,12.0,2.0,10.0,0.8333333333333334
1904,George_W._Bush,USA_Presidents,male,84,114,96.0,1.0,95.0,0.9895833333333334
1905,George_Washington,USA_Presidents,male,21,54,35.0,1.0,34.0,0.9714285714285714
1909,Gerald_Durrell,Writers_and_critics,male,45,6,2.0,2.0,,
1910,Gerald_Ford,USA_Presidents,male,44,24,12.0,1.0,11.0,0.9166666666666666
1929,Gilles_Villeneuve,Sports_and_games_people,male,5,1,1.0,1.0,,
1931,Giuseppe_Verdi,Performers_and_composers,male,26,9,10.0,2.0,8.0,0.8
1958,Glynn_Lunney,Engineers_and_inventors,male,11,2,7.0,1.0,6.0,0.8571428571428571
1974,Gordon_Brown,Political_People,male,19,12,15.0,3.0,12.0,0.8
1979,Gottfried_Leibniz,Mathematicians,male,92,35,5.0,1.0,4.0,0.8
2034,Greg_LeMond,Sports_and_games_people,male,8,3,1.0,1.0,,
2035,Gregor_Mendel,Human_Scientists,male,12,17,13.0,1.0,12.0,0.9230769230769231
2042,Grover_Cleveland,USA_Presidents,male,31,16,10.0,,10.0,1.0
2051,Guglielmo_Marconi,Engineers_and_inventors,male,21,9,6.0,2.0,4.0,0.6666666666666666
2063,Gustav_Holst,Performers_and_composers,male,36,3,,,,
2064,Gustavus_Franklin_Swift,Engineers_and_inventors,male,31,2,1.0,1.0,,
2070,H.D.,Writers_and_critics,female,29,6,10.0,6.0,4.0,0.4
2099,Hannibal_Barca,Historical_figures,male,21,4,31.0,30.0,1.0,0.03225806451612903
2107,Harold_Macmillan,Political_People,male,35,17,5.0,,5.0,1.0
2108,Harold_Wilson,Political_People,male,27,19,,,,
2111,Harry_S._Truman,USA_Presidents,male,50,35,30.0,,30.0,1.0
2113,Hasekura_Tsunenaga,Historical_figures,male,28,3,5.0,,5.0,1.0
2115,Hatshepsut,Historical_figures,female,9,4,11.0,3.0,8.0,0.7272727272727273
2130,Helen,Historical_figures,female,13,7,14.0,2.0,12.0,0.8571428571428571
2131,Helen_Gandy,Historical_figures,female,8,1,,,,
2141,Henri_Matisse,Artists,male,11,6,6.0,2.0,4.0,0.6666666666666666
2143,Henrik_Ibsen,Writers_and_critics,male,11,15,9.0,2.0,7.0,0.7777777777777778
2144,Henry_David_Thoreau,Philosophers,male,22,10,12.0,2.0,10.0,0.8333333333333334
2145,Henry_Fonda,Actors_models_and_celebrities,male,18,9,,,,
2146,Henry_Ford,Engineers_and_inventors,male,11,10,11.0,2.0,9.0,0.8181818181818182
2147,Henry_H._Rogers,Historical_figures,male,25,6,20.0,17.0,3.0,0.15
2149,Henry_III_of_England,Monarchs_of_Great_Britain,male,13,19,16.0,3.0,13.0,0.8125
2151,Henry_II_of_England,Monarchs_of_Great_Britain,male,16,32,17.0,1.0,16.0,0.9411764705882353
2153,Henry_IV_of_England,Monarchs_of_Great_Britain,male,17,19,27.0,6.0,21.0,0.7777777777777778
2155,Henry_I_of_England,Monarchs_of_Great_Britain,male,16,19,25.0,3.0,22.0,0.88
2156,Henry_James,Writers_and_critics,male,41,14,2.0,2.0,,
2157,Henry_Moore,Artists,male,21,5,1.0,1.0,,
2158,Henry_Morrison_Flagler,Engineers_and_inventors,male,17,2,,,,
2159,Henry_Morton_Stanley,Geographers_and_explorers,male,14,9,,,,
2160,Henry_Purcell,Performers_and_composers,male,14,15,8.0,,8.0,1.0
2161,Henry_Rollins,Actors_models_and_celebrities,male,2,1,2.0,2.0,,
2162,Henry_VIII_of_England,Monarchs_of_Great_Britain,male,50,74,13.0,3.0,10.0,0.7692307692307693
2165,Henry_VII_of_England,Monarchs_of_Great_Britain,male,22,30,12.0,1.0,11.0,0.9166666666666666
2167,Henry_VI_of_England,Monarchs_of_Great_Britain,male,19,13,17.0,1.0,16.0,0.9411764705882353
2169,Henry_V_of_England,Monarchs_of_Great_Britain,male,16,20,13.0,2.0,11.0,0.8461538461538461
2175,Heraclius,Historical_figures,male,11,10,7.0,1.0,6.0,0.8571428571428571
2177,Herbert_Hoover,USA_Presidents,male,33,23,13.0,1.0,12.0,0.9230769230769231
2181,Hern%C3%A1n_Cort%C3%A9s,Historical_figures,male,14,16,6.0,2.0,4.0,0.6666666666666666
2192,Hilda_of_Whitby,Religious_figures_and_leaders,female,16,2,2.0,2.0,,
2198,Hippocrates,Human_Scientists,male,19,21,29.0,4.0,25.0,0.8620689655172413
2201,Hirohito,Political_People,male,26,7,10.0,1.0,9.0,0.9
2253,Ho_Chi_Minh,Political_People,male,28,8,17.0,1.0,16.0,0.9411764705882353
2259,Homer,Writers_and_critics,male,23,56,19.0,1.0,18.0,0.9473684210526315
2270,Horatio_Nelson%2C_1st_Viscount_Nelson,Military_People,male,42,11,,,,
2292,Hugo_Wolf,Performers_and_composers,male,8,2,,,,
2303,Humphry_Davy,Chemists,male,28,22,4.0,,4.0,1.0
2332,Husein_Grada%C5%A1%C4%8Devi%C4%87,Military_People,male,18,2,10.0,6.0,4.0,0.4
2349,Ibn_Battuta,Religious_figures_and_leaders,male,40,8,8.0,3.0,5.0,0.625
2362,Igor_Stravinsky,Performers_and_composers,male,33,20,12.0,,12.0,1.0
2364,Ike_Altgens,Historical_figures,male,9,1,7.0,,7.0,1.0
2366,Immanuel_Kant,Philosophers,male,30,43,10.0,1.0,9.0,0.9
2382,Indira_Gandhi,Political_People,female,16,12,9.0,,9.0,1.0
2448,Isaac,Religious_figures_and_leaders,male,11,10,18.0,4.0,14.0,0.7777777777777778
2449,Isaac_Asimov,Writers_and_critics,male,35,16,2.0,2.0,,
2450,Isaac_Brock,Military_People,male,23,3,27.0,23.0,4.0,0.14814814814814814
2451,Isaac_Newton,Astronomers_and_physicists,male,56,80,28.0,5.0,23.0,0.8214285714285714
2452,Isambard_Kingdom_Brunel,Engineers_and_inventors,male,25,15,4.0,,4.0,1.0
2472,Ivan_IV_of_Russia,Historical_figures,male,10,5,3.0,3.0,,
2476,J%C3%B3zef_Pi%C5%82sudski,Historical_figures,male,46,9,,,,
2478,J._J._Thomson,Engineers_and_inventors,male,12,3,6.0,1.0,5.0,0.8333333333333334
2479,J._K._Rowling,Writers_and_critics,female,29,5,16.0,7.0,9.0,0.5625
2480,J._M._W._Turner,Artists,male,18,12,8.0,4.0,4.0,0.5
2481,J._R._R._Tolkien,Writers_and_critics,male,56,15,26.0,8.0,18.0,0.6923076923076923
2483,Jack_Kerouac,Writers_and_critics,male,21,12,1.0,1.0,,
2487,Jackie_Robinson,Sports_and_games_people,male,7,5,9.0,,9.0,1.0
2490,Jacques-Louis_David,Artists,male,18,10,2.0,2.0,,
2491,Jacques_Cartier,Geographers_and_explorers,male,8,4,,,,
2493,Jake_Gyllenhaal,Actors_models_and_celebrities,male,21,3,1.0,1.0,,
2497,James_Buchanan,USA_Presidents,male,22,12,7.0,1.0,6.0,0.8571428571428571
2498,James_Callaghan,Political_People,male,32,10,6.0,,6.0,1.0
2499,James_Clerk_Maxwell,Astronomers_and_physicists,male,27,27,4.0,,4.0,1.0
2500,James_Cook,Geographers_and_explorers,male,47,29,6.0,1.0,5.0,0.8333333333333334
2501,James_D._Watson,Human_Scientists,male,16,7,8.0,,8.0,1.0
2502,James_Garfield,Political_People,male,18,5,18.0,6.0,12.0,0.6666666666666666
2503,James_Garfield,USA_Presidents,male,18,5,18.0,6.0,12.0,0.6666666666666666
2505,James_II_of_England,Monarchs_of_Great_Britain,male,38,43,20.0,2.0,18.0,0.9
2507,James_I_of_England,Monarchs_of_Great_Britain,male,33,49,11.0,1.0,10.0,0.9090909090909091
2508,James_Joyce,Writers_and_critics,male,36,31,5.0,,5.0,1.0
2509,James_K._Polk,USA_Presidents,male,25,16,21.0,2.0,19.0,0.9047619047619048
2510,James_Lovelock,Writers_and_critics,male,19,3,,,,
2511,James_Monroe,USA_Presidents,male,19,12,17.0,1.0,16.0,0.9411764705882353
2512,James_Stewart_%28actor%29,Actors_models_and_celebrities,male,22,5,8.0,4.0,4.0,0.5
2514,James_Watt,Astronomers_and_physicists,male,15,7,10.0,,10.0,1.0
2515,James_Watt,Engineers_and_inventors,male,15,7,10.0,,10.0,1.0
2517,Jane_Austen,Writers_and_critics,female,23,17,8.0,,8.0,1.0
2519,Jane_Fonda,Actors_models_and_celebrities,female,25,8,2.0,2.0,,
2528,Jean-Jacques_Rousseau,Philosophers,male,30,34,10.0,2.0,8.0,0.8
2531,Jerry_Fodor,Philosophers,male,7,5,,,,
