,source,target,finished,human_path_length,shortest_path_length,path_deviation,playtime,type,failure_article,difficulty_rating,number_backclicks,hashedIpAddress,timestamp,category,gender,nr_link_in,in_degree_rep,success_rate,log_playtime
7460,Arctic,Bette_Davis,False,4,3,1,209,restart,<,,1,56e8314208cb832d,1345231860,Actors_models_and_celebrities,female,7,1,0.0,5.342334251964811
7461,Edmund_Hillary,Bette_Davis,False,3,3,0,1846,timeout,San_Francisco%2C_California,,0,56e8314208cb832d,1345504499,Actors_models_and_celebrities,female,7,1,0.0,7.520776415062797
2447,Chemistry,Fidel_Castro,False,4,3,1,113,restart,Nationalism,,0,57b097a273451124,1352167546,Political_People,male,23,2,,4.727387818712341
6593,North_Africa,Agamemnon,False,4,3,1,2816,timeout,Athens,,0,6977da6a0f35ca0c,1324078768,Historical_figures,male,9,1,,7.943072717277933
7097,Sistine_Chapel_ceiling,J._K._Rowling,False,11,3,8,289,restart,University_of_Cambridge,,3,781fe1720d34b171,1375737582,Writers_and_critics,female,5,1,0.0,5.666426688112432
7194,Flemish_people,Britney_Spears,False,5,3,2,1895,timeout,American_popular_music,,0,4a261ea23756d5c2,1298742739,Actors_models_and_celebrities,female,8,1,0.0,7.546974117516527
2256,Nintendo_Entertainment_System,Joseph_Haydn,False,3,3,0,1916,timeout,Finland,,0,2c964c92112ea36b,1304512248,Performers_and_composers,male,14,1,,7.557994958530806
7096,Badminton,J._K._Rowling,False,5,3,2,102,restart,<,,1,372bf51e197303b6,1366389652,Writers_and_critics,female,5,1,0.0,4.624972813284271
7211,Basil,Britney_Spears,False,22,4,18,484,restart,<,,5,465c27152a2c8ede,1311975624,Actors_models_and_celebrities,female,8,1,0.0,6.182084906716632
4957,Shroud_of_Turin,Rosa_Parks,False,19,3,16,2797,timeout,Citizenship,,5,2914f7a114b3b94d,1341966668,Historical_figures,female,3,1,,7.936302693201959
7191,Transit_of_Venus,Britney_Spears,False,24,4,20,2519,timeout,Mississippi_River,,2,769211682dc13566,1298694418,Actors_models_and_celebrities,female,8,1,0.0,7.831617276352611
